検索キー,建物用途コード,室分類コード,負荷種別コード,室使用パターンコード,負荷種別,室使用パターン名称,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,SchedTime1,SchedPercent1,SchedTime2,SchedPercent2,SchedTime3,SchedPercent3,SchedTime4,SchedPercent4,SchedTime5,SchedPercent5,SchedTime6,SchedPercent6,SchedTime7,SchedPercent7,SchedTime8,SchedPercent8,SchedTime9,SchedPercent9,SchedTime10,SchedPercent10,SchedTime11,SchedPercent11,SchedTime12,(旧)検索キー,(旧)室分類コード
O-1,Office,1,4,3,機器発熱密度比率,室使用パターン3,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1,25,24,,,,,,,,,,,,,,,,,,,,,1-1-4-3,1
O-2,Office,2,1,1,室同時使用率,室使用パターン1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-9-1-1,9
O-2,Office,2,1,2,室同時使用率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-9-1-2,9
O-2,Office,2,1,3,室同時使用率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-9-1-3,9
O-2,Office,2,2,1,照明発熱密度比率,室使用パターン1,0,0,0,0,0,0,0,0,1,1,1,1,0.5,1,1,1,1,1,1,1,0.8,0,0,0,1,0,8,100,12,50,13,100,20,80,21,0,24,,,,,,,,,,,1-9-2-1,9
O-2,Office,2,2,2,照明発熱密度比率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-9-2-2,9
O-2,Office,2,2,3,照明発熱密度比率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-9-2-3,9
O-2,Office,2,3,1,人体発熱密度比率,室使用パターン1,0,0,0,0,0,0,0,0,1,1,1,1,0.6,1,1,1,1,1,0.5,0.3,0.2,0,0,0,1,0,8,100,12,60,13,100,18,50,19,30,20,20,21,0,24,,,,,,,1-9-3-1,9
O-2,Office,2,3,2,人体発熱密度比率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-9-3-2,9
O-2,Office,2,3,3,人体発熱密度比率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-9-3-3,9
O-2,Office,2,4,1,機器発熱密度比率,室使用パターン1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1,1,1,1,0.8,1,1,1,1,1,1,0.5,0.5,0.25,0.25,0.25,1,25,8,100,12,80,13,100,19,50,21,25,24,,,,,,,,,,,1-9-4-1,9
O-2,Office,2,4,2,機器発熱密度比率,室使用パターン2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1,25,24,,,,,,,,,,,,,,,,,,,,,1-9-4-2,9
O-2,Office,2,4,3,機器発熱密度比率,室使用パターン3,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1,25,24,,,,,,,,,,,,,,,,,,,,,1-9-4-3,9
O-3,Office,3,1,1,室同時使用率,室使用パターン1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-2-1-1,2
O-3,Office,3,1,2,室同時使用率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-2-1-2,2
O-3,Office,3,1,3,室同時使用率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-2-1-3,2
O-3,Office,3,2,1,照明発熱密度比率,室使用パターン1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,9,100,18,0,24,,,,,,,,,,,,,,,,,1-2-2-1,2
O-3,Office,3,2,2,照明発熱密度比率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-2-2-2,2
O-3,Office,3,2,3,照明発熱密度比率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-2-2-3,2
O-3,Office,3,3,1,人体発熱密度比率,室使用パターン1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,9,100,18,0,24,,,,,,,,,,,,,,,,,1-2-3-1,2
O-3,Office,3,3,2,人体発熱密度比率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-2-3-2,2
O-3,Office,3,3,3,人体発熱密度比率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-2-3-3,2
O-3,Office,3,4,1,機器発熱密度比率,室使用パターン1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,9,100,18,0,24,,,,,,,,,,,,,,,,,1-2-4-1,2
O-3,Office,3,4,2,機器発熱密度比率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-2-4-2,2
O-3,Office,3,4,3,機器発熱密度比率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-2-4-3,2
O-4,Office,4,1,1,室同時使用率,室使用パターン1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-2-1-1,2
O-4,Office,4,1,2,室同時使用率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-2-1-2,2
O-4,Office,4,1,3,室同時使用率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-2-1-3,2
O-4,Office,4,2,1,照明発熱密度比率,室使用パターン1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,9,100,18,0,24,,,,,,,,,,,,,,,,,1-2-2-1,2
O-4,Office,4,2,2,照明発熱密度比率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-2-2-2,2
O-4,Office,4,2,3,照明発熱密度比率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-2-2-3,2
O-4,Office,4,3,1,人体発熱密度比率,室使用パターン1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,9,100,18,0,24,,,,,,,,,,,,,,,,,1-2-3-1,2
O-4,Office,4,3,2,人体発熱密度比率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-2-3-2,2
O-4,Office,4,3,3,人体発熱密度比率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-2-3-3,2
O-4,Office,4,4,1,機器発熱密度比率,室使用パターン1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,9,100,18,0,24,,,,,,,,,,,,,,,,,1-2-4-1,2
O-4,Office,4,4,2,機器発熱密度比率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-2-4-2,2
O-4,Office,4,4,3,機器発熱密度比率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-2-4-3,2
O-6,Office,5,1,1,室同時使用率,室使用パターン1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1-10-1-1,10
O-6,Office,5,1,2,室同時使用率,室使用パターン2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1-10-1-2,10
O-6,Office,5,1,3,室同時使用率,室使用パターン3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1-10-1-3,10
O-6,Office,5,2,1,照明発熱密度比率,室使用パターン1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,24,,,,,,,,,,,,,,,,,,,,,1-10-2-1,10
O-6,Office,5,2,2,照明発熱密度比率,室使用パターン2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,24,,,,,,,,,,,,,,,,,,,,,1-10-2-2,10
O-6,Office,5,2,3,照明発熱密度比率,室使用パターン3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,24,,,,,,,,,,,,,,,,,,,,,1-10-2-3,10
O-6,Office,5,3,1,人体発熱密度比率,室使用パターン1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,1,50,7,100,20,50,24,,,,,,,,,,,,,,,,,1-10-3-1,10
O-6,Office,5,3,2,人体発熱密度比率,室使用パターン2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,50,24,,,,,,,,,,,,,,,,,,,,,1-10-3-2,10
O-6,Office,5,3,3,人体発熱密度比率,室使用パターン3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,50,24,,,,,,,,,,,,,,,,,,,,,1-10-3-3,10
O-6,Office,5,4,1,機器発熱密度比率,室使用パターン1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,24,,,,,,,,,,,,,,,,,,,,,1-10-4-1,10
O-6,Office,5,4,2,機器発熱密度比率,室使用パターン2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,24,,,,,,,,,,,,,,,,,,,,,1-10-4-2,10
O-6,Office,5,4,3,機器発熱密度比率,室使用パターン3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,24,,,,,,,,,,,,,,,,,,,,,1-10-4-3,10
O-6,Office,6,1,1,室同時使用率,室使用パターン1,0,0,0,0,0,0,0,0.4,0.8,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.8,0.8,0.4,0.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-11-1-1,11
O-6,Office,6,1,2,室同時使用率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-11-1-2,11
O-6,Office,6,1,3,室同時使用率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-11-1-3,11
O-6,Office,6,2,1,照明発熱密度比率,室使用パターン1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,8,100,21,0,24,,,,,,,,,,,,,,,,,1-11-2-1,11
O-6,Office,6,2,2,照明発熱密度比率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-11-2-2,11
O-6,Office,6,2,3,照明発熱密度比率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-11-2-3,11
O-6,Office,6,3,1,人体発熱密度比率,室使用パターン1,0,0,0,0,0,0,0,0,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7,0.7,0.4,0.4,0,0,0,1,0,8,100,9,40,17,70,19,40,21,0,24,,,,,,,,,,,1-11-3-1,11
O-6,Office,6,3,2,人体発熱密度比率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-11-3-2,11
O-6,Office,6,3,3,人体発熱密度比率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-11-3-3,11
O-6,Office,6,4,1,機器発熱密度比率,室使用パターン1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-11-4-1,11
O-6,Office,6,4,2,機器発熱密度比率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-11-4-2,11
O-6,Office,6,4,3,機器発熱密度比率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-11-4-3,11
O-7,Office,7,1,1,室同時使用率,室使用パターン1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-12-1-1,12
O-7,Office,7,1,2,室同時使用率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-12-1-2,12
O-7,Office,7,1,3,室同時使用率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-12-1-3,12
O-7,Office,7,2,1,照明発熱密度比率,室使用パターン1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,100,14,0,24,,,,,,,,,,,,,,,,,1-12-2-1,12
O-7,Office,7,2,2,照明発熱密度比率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-12-2-2,12
O-7,Office,7,2,3,照明発熱密度比率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-12-2-3,12
O-7,Office,7,3,1,人体発熱密度比率,室使用パターン1,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0.25,0,0,0,0,0,0,0,0,0,0,1,0,11,25,12,100,13,25,14,0,24,,,,,,,,,,,,,1-12-3-1,12
O-7,Office,7,3,2,人体発熱密度比率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-12-3-2,12
O-7,Office,7,3,3,人体発熱密度比率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-12-3-3,12
O-7,Office,7,4,1,機器発熱密度比率,室使用パターン1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-12-4-1,12
O-7,Office,7,4,2,機器発熱密度比率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-12-4-2,12
O-7,Office,7,4,3,機器発熱密度比率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-12-4-3,12
O-8,Office,8,1,1,室同時使用率,室使用パターン1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-3-1-1,3
O-8,Office,8,1,2,室同時使用率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-3-1-2,3
O-8,Office,8,1,3,室同時使用率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-3-1-3,3
O-8,Office,8,2,1,照明発熱密度比率,室使用パターン1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,8,100,21,0,24,,,,,,,,,,,,,,,,,1-3-2-1,3
O-8,Office,8,2,2,照明発熱密度比率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-3-2-2,3
O-8,Office,8,2,3,照明発熱密度比率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-3-2-3,3
O-8,Office,8,3,1,人体発熱密度比率,室使用パターン1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,8,100,21,0,24,,,,,,,,,,,,,,,,,1-3-3-1,3
O-8,Office,8,3,2,人体発熱密度比率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-3-3-2,3
O-8,Office,8,3,3,人体発熱密度比率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-3-3-3,3
O-8,Office,8,4,1,機器発熱密度比率,室使用パターン1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-3-4-1,3
O-8,Office,8,4,2,機器発熱密度比率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-3-4-2,3
O-8,Office,8,4,3,機器発熱密度比率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-3-4-3,3
O-9,Office,9,1,1,室同時使用率,室使用パターン1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-3-1-1,3
O-9,Office,9,1,2,室同時使用率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-3-1-2,3
O-9,Office,9,1,3,室同時使用率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-3-1-3,3
O-9,Office,9,2,1,照明発熱密度比率,室使用パターン1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,8,100,21,0,24,,,,,,,,,,,,,,,,,1-3-2-1,3
O-9,Office,9,2,2,照明発熱密度比率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-3-2-2,3
O-9,Office,9,2,3,照明発熱密度比率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-3-2-3,3
O-9,Office,9,3,1,人体発熱密度比率,室使用パターン1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,8,100,21,0,24,,,,,,,,,,,,,,,,,1-3-3-1,3
O-9,Office,9,3,2,人体発熱密度比率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-3-3-2,3
O-9,Office,9,3,3,人体発熱密度比率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-3-3-3,3
O-9,Office,9,4,1,機器発熱密度比率,室使用パターン1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-3-4-1,3
O-9,Office,9,4,2,機器発熱密度比率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-3-4-2,3
O-9,Office,9,4,3,機器発熱密度比率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,,,,,,,,,,,,,,,,,,,,,1-3-4-3,3
O-10,Office,10,1,1,室同時使用率,室使用パターン1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-3-1-1,3
O-10,Office,10,1,2,室同時使用率,室使用パターン2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-3-1-2,3
O-10,Office,10,1,3,室同時使用率,室使用パターン3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1-3-1-3,3
O-10,Office,10,2,1,照明発熱密度比率,室使用パターン1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,8,100,21,0,24,,,,,,,,,,,,,,,,,1-3-2-1,3
