’èíŒvŽZ‚É‚æ‚é•‰‰×‚ð”ñ’èíŒvŽZ‚É‚æ‚é•‰‰×‚ÉŠ·ŽZ‚·‚é‚½‚ß‚ÌŒW”ˆê——i‘Î”äŒW”ˆ——pExcelƒtƒ@ƒCƒ‹‚©‚çƒRƒs[j,,,,,,,,,,,,,,,,,,,2012.1.31 Œš’zŠÂ‹«ƒ\ƒŠƒ…[ƒVƒ‡ƒ“ƒY@‹{“‡,,,,,,,,,,
Ø•Ð‚Ì’PˆÊ‚Í[Wh/m2“ú],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Œš•¨—p“r,Žº—p“r,‘O“ú‹ó’²—L–³,ŠúŠÔ,ŠO—,•‰‰×Ží•Ê,,–kŒ©,,,ŠâŒ©‘ò,,,·‰ª,,,’·–ì,,,‰F“s‹{,,,‰ªŽR,,,‹{è,,,“ß”e,
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,77,0,0,76,0,0,67,0,0,85,0,0,96,-0.08,-2,92,0,0,115,0,0,129
,,,,,’g–[•‰‰×,0.78,-43,-115,0.77,-43,-111,0.78,-45,-109,0.78,-38,-114,0.79,-28,-109,0.79,-26,-122,0.79,-32,-130,0.77,-15,-115
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.56,83,0,0.48,112,0,0.44,126,0,0.47,125,0,0.5,119,0,0.52,105,0,0.5,139,0,0.54,84,0
ƒzƒeƒ‹“™,‰ƒ‰ïê‚”­”M,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.17,-1,65,0,0,115,-0.01,0,112,0.11,7,135,0.44,13,171,0.64,12,171,0.54,12,199,0.75,5,174
,,,,,’g–[•‰‰×,0.7,-25,-25,0.71,-18,-18,0.72,-14,-14,0.75,-7,-7,0.72,-9,-9,0.66,-13,-13,0.73,-8,-8,0.68,-6,-6
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.68,55,0,0.64,78,0,0.64,66,0,0.64,68,0,0.64,60,0,0.7,43,0,0.65,69,0,0.72,38,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,794,0,0,846,0,0,82,0,0,88,0,0,102,0,0,99,0,0,109,-0.69,7,7
,,,,,’g–[•‰‰×,0.71,-87,-788,0.7,-84,-834,0.69,-92,-92,0.68,-89,-89,0.68,-81,-81,0.69,-66,-66,0.69,-54,-54,0.68,-22,-22
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.7,61,0,0.66,79,0,0.63,94,0,0.62,109,0,0.65,119,0,0.69,66,0,0.64,105,0,0.68,48,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,100,0,0,102,0,0,97,0,0,103,0,0,109,0,0,114,0,0,113,-0.01,0,120
,,,,,’g–[•‰‰×,0.7,-46,-46,0.68,-50,-50,0.7,-52,-52,0.71,-44,-44,0.71,-32,-32,0.71,-28,-28,0.7,-40,-40,0.7,-15,-15
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.7,50,0,0.63,80,0,0.62,87,0,0.63,88,0,0.65,84,0,0.69,61,0,0.66,99,0,0.7,49,0
ƒzƒeƒ‹“™,‰ƒ‰ïê’á”­”M,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.17,-1,12,0,0,62,-0.01,0,59,0.11,7,82,0.44,13,114,0.64,12,116,0.54,12,136,0.75,5,113
,,,,,’g–[•‰‰×,0.7,-25,-25,0.71,-18,-18,0.72,-14,-14,0.75,-7,-7,0.72,-9,-9,0.66,-13,-13,0.73,-8,-8,0.68,-6,-6
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.68,55,0,0.64,78,0,0.64,66,0,0.64,68,0,0.64,60,0,0.7,43,0,0.65,69,0,0.72,38,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,344,0,0,365,0,0,483,0,0,481,0,0,557,0,0,524,0,0,56,-0.69,7,7
,,,,,’g–[•‰‰×,0.71,-87,-397,0.7,-84,-412,0.69,-92,-546,0.68,-89,-536,0.68,-81,-589,0.69,-66,-544,0.69,-54,-54,0.68,-22,-22
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.7,61,0,0.66,79,0,0.63,94,0,0.62,109,0,0.65,119,0,0.69,66,0,0.64,105,0,0.68,48,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,555,0,0,49,0,0,486,0,0,658,0,0,56,0,0,61,0,0,60,-0.01,0,67
,,,,,’g–[•‰‰×,0.7,-46,-554,0.68,-50,-50,0.7,-52,-494,0.71,-44,-652,0.71,-32,-32,0.71,-28,-28,0.7,-40,-40,0.7,-15,-15
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.7,50,0,0.63,80,0,0.62,87,0,0.63,88,0,0.65,84,0,0.69,61,0,0.66,99,0,0.7,49,0
ƒzƒeƒ‹“™,‰ƒ‰ïêŒ‹¥Ž®ê,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.22,-1,226,0,0,363,-0.02,0,352,0.11,8,315,0.41,13,91,0.62,13,94,0.51,13,108,0.73,6,88
,,,,,’g–[•‰‰×,0.7,-26,-272,0.71,-19,-339,0.72,-14,-328,0.74,-8,-260,0.71,-11,-11,0.66,-14,-14,0.72,-10,-10,0.67,-7,-7
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.68,56,0,0.64,79,0,0.64,67,0,0.64,69,0,0.64,61,0,0.7,44,0,0.65,70,0,0.72,39,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,147,0,0,151,0,0,179,0,0,189,0,0,249,0,0,250,0,0,302,-0.64,8,8
,,,,,’g–[•‰‰×,0.71,-87,-223,0.7,-85,-221,0.69,-92,-260,0.68,-90,-262,0.68,-81,-300,0.69,-66,-289,0.69,-54,-320,0.68,-22,-22
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.7,63,0,0.66,80,0,0.63,96,0,0.62,112,0,0.65,121,0,0.69,68,0,0.63,108,0,0.67,50,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,191,0,0,259,0,0,231,0,0,268,0,0,181,0,0,295,0,0,237,-0.03,0,46
,,,,,’g–[•‰‰×,0.7,-47,-210,0.68,-51,-280,0.7,-53,-258,0.71,-44,-281,0.71,-32,-176,0.71,-29,-283,0.7,-40,-236,0.7,-16,-16
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.7,51,0,0.63,82,0,0.61,89,0,0.63,90,0,0.65,86,0,0.68,63,0,0.65,101,0,0.7,51,0
ƒzƒeƒ‹“™,ƒŒƒXƒgƒ‰ƒ“,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0.06,7,351,0,0,419,-0.02,1,408,0.12,10,377,0.4,16,112,0.62,16,118,0.51,16,131,0.74,8,110
,,,,,’g–[•‰‰×,0.77,-22,-298,0.78,-15,-372,0.78,-12,-361,0.79,-9,-302,0.76,-12,-12,0.68,-19,-19,0.76,-14,-14,0.72,-9,-9
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.71,53,0,0.67,77,0,0.67,66,0,0.67,68,0,0.67,60,0,0.73,42,0,0.68,69,0,0.75,37,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,200,0,0,196,0,0,222,0,0,241,0,0,314,0,0,304,0,0,351,-0.13,8,41
,,,,,’g–[•‰‰×,0.77,-70,-242,0.77,-69,-234,0.76,-74,-269,0.76,-73,-280,0.75,-65,-331,0.76,-53,-313,0.76,-44,-340,0.75,-19,-19
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.73,61,0,0.68,79,0,0.65,95,0,0.64,111,0,0.67,120,0,0.72,66,0,0.66,107,0,0.69,49,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,259,0,0,309,0,0,279,0,0,320,0,0,295,0,0,375,0,0,342,-0.05,1,499
,,,,,’g–[•‰‰×,0.77,-39,-251,0.75,-41,-302,0.77,-43,-279,0.77,-36,-307,0.78,-26,-266,0.78,-24,-338,0.77,-32,-315,0.77,-13,-450
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.73,48,0,0.66,80,0,0.64,88,0,0.66,88,0,0.68,84,0,0.71,61,0,0.68,100,0,0.73,49,0
ƒzƒeƒ‹“™,ƒ‰ƒEƒ“ƒW’‹,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0.04,5,164,0,0,223,-0.02,1,198,0.13,9,203,0.43,15,296,0.63,14,98,0.52,14,324,0.75,7,89
,,,,,’g–[•‰‰×,0.75,-23,-135,0.76,-16,-195,0.76,-12,-169,0.78,-8,-144,0.75,-12,-208,0.67,-17,-17,0.74,-13,-223,0.71,-8,-8
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.7,53,0,0.66,77,0,0.67,65,0,0.66,68,0,0.66,60,0,0.72,42,0,0.67,69,0,0.74,37,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,102,0,0,95,0,0,102,0,0,120,0,0,164,0,0,160,0,0,205,-0.17,8,196
,,,,,’g–[•‰‰×,0.75,-75,-168,0.75,-74,-156,0.74,-79,-172,0.73,-78,-182,0.73,-70,-203,0.74,-57,-190,0.74,-47,-215,0.73,-20,-198
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.72,60,0,0.68,79,0,0.65,94,0,0.64,110,0,0.67,119,0,0.71,65,0,0.66,106,0,0.69,48,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,132,0,0,155,0,0,139,0,0,167,0,0,153,0,0,207,0,0,198,-0.04,1,277
,,,,,’g–[•‰‰×,0.75,-41,-144,0.73,-44,-168,0.75,-46,-159,0.75,-38,-174,0.76,-28,-143,0.76,-25,-190,0.75,-34,-191,0.75,-14,-245
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.72,48,0,0.65,79,0,0.64,87,0,0.65,88,0,0.67,84,0,0.71,60,0,0.67,99,0,0.72,48,0
ƒzƒeƒ‹“™,ƒ‰ƒEƒ“ƒW–é,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,42,0,0,45,0,0,39,0.09,3,65,0.35,5,80,0.48,9,56,0.39,8,82,0.55,5,52
,,,,,’g–[•‰‰×,0.52,-36,-62,0.53,-26,-52,0.54,-20,-41,0.57,-11,-42,0.55,-12,-34,0.52,-10,-10,0.56,-10,-28,0.51,-8,-8
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.38,81,0,0.37,92,0,0.38,80,0,0.38,81,0,0.37,73,0,0.42,65,0,0.4,82,0,0.45,60,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,18,0,0,20,0,0,14,0,0,24,0,0,47,0,0,35,0,0,51,-0.08,2,37
,,,,,’g–[•‰‰×,0.5,-125,-153,0.49,-122,-148,0.47,-132,-155,0.47,-128,-157,0.47,-113,-154,0.48,-93,-123,0.48,-74,-112,0.49,-29,-60
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.42,87,0,0.39,93,0,0.36,109,0,0.35,129,0,0.38,138,0,0.41,95,0,0.38,123,0,0.39,69,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,37,0,0,30,0,0,28,0,0,35,0,0,37,0,0,50,0,0,58,0,0,69
,,,,,’g–[•‰‰×,0.51,-64,-94,0.48,-69,-91,0.5,-73,-96,0.51,-61,-87,0.53,-45,-69,0.52,-39,-72,0.51,-54,-95,0.51,-21,-66
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.41,76,0,0.36,97,0,0.34,104,0,0.36,106,0,0.38,100,0,0.4,88,0,0.4,114,0,0.42,75,0
ƒzƒeƒ‹“™,“X•Ü,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.12,-1,307,0,0,413,-0.05,-2,34,0.1,6,62,0.39,12,89,0.57,12,93,0.49,12,107,0.7,6,89
,,,,,’g–[•‰‰×,0.64,-30,-329,0.66,-21,-390,0.67,-16,-16,0.7,-8,-8,0.67,-11,-11,0.61,-14,-14,0.68,-10,-10,0.62,-7,-7
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.64,60,0,0.6,81,0,0.61,69,0,0.6,71,0,0.6,63,0,0.66,47,0,0.62,72,0,0.69,42,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,157,0,0,163,0,0,197,0,0,201,0,0,259,0,0,265,0,0,309,-0.69,7,7
,,,,,’g–[•‰‰×,0.65,-100,-241,0.65,-97,-242,0.63,-105,-289,0.63,-103,-285,0.62,-92,-320,0.63,-76,-313,0.63,-63,-334,0.62,-26,-26
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.67,66,0,0.62,82,0,0.59,98,0,0.58,115,0,0.61,124,0,0.66,72,0,0.6,110,0,0.63,53,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,205,0,0,290,0,0,247,0,0,279,0,0,213,0,0,306,0,0,234,-0.01,0,50
,,,,,’g–[•‰‰×,0.64,-54,-229,0.62,-59,-317,0.64,-60,-281,0.65,-51,-297,0.66,-37,-211,0.65,-33,-297,0.65,-46,-237,0.64,-18,-18
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.66,55,0,0.59,84,0,0.58,91,0,0.6,92,0,0.61,88,0,0.65,66,0,0.62,103,0,0.66,54,0
ƒzƒeƒ‹“™,Ž––±Žº24h,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0.04,11,525,-0.01,0,626,0,5,112,0.11,15,134,0.34,21,159,0.56,24,170,0.49,21,185,0.72,13,164
,,,,,’g–[•‰‰×,0.88,-16,-423,0.9,-9,-526,0.89,-9,-9,0.88,-11,-11,0.85,-15,-15,0.74,-24,-24,0.84,-18,-18,0.78,-13,-13
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.76,47,0,0.72,74,0,0.72,62,0,0.72,64,0,0.72,56,0,0.78,36,0,0.73,65,0,0.8,32,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,322,0,0,302,0,0,357,0,0,364,0,0,457,0,0,435,0,0,476,0.34,10,169
,,,,,’g–[•‰‰×,0.9,-37,-287,0.89,-37,-264,0.89,-39,-325,0.89,-38,-325,0.89,-33,-398,0.89,-28,-373,0.89,-23,-398,0.87,-12,-12
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.77,55,0,0.73,75,0,0.7,91,0,0.69,105,0,0.72,115,0,0.77,59,0,0.71,101,0,0.75,43,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,375,0,0,464,0,0,420,0,0,463,0.01,3,405,0.01,9,518,0,0,352,0.03,4,123
,,,,,’g–[•‰‰×,0.89,-23,-305,0.89,-22,-391,0.89,-23,-355,0.9,-20,-387,0.9,-14,-314,0.9,-13,-421,0.89,-17,-263,0.89,-8,-8
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.78,43,0,0.71,75,0,0.69,83,0,0.71,84,0,0.72,81,0,0.76,55,0,0.72,96,0,0.78,43,0
ƒzƒeƒ‹“™,Ž––±Žº’‹,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0.06,6,321,0,0,408,-0.02,1,48,0.13,10,75,0.41,16,101,0.64,15,106,0.54,15,121,0.77,7,98
,,,,,’g–[•‰‰×,0.77,-21,-280,0.78,-15,-372,0.78,-11,-11,0.8,-8,-8,0.77,-11,-11,0.68,-18,-18,0.76,-13,-13,0.73,-8,-8
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.72,50,0,0.67,76,0,0.68,64,0,0.68,66,0,0.68,58,0,0.74,40,0,0.69,68,0,0.76,35,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,171,0,0,169,0,0,200,0,0,207,0,0,277,0,0,283,0,0,331,-0.16,8,25
,,,,,’g–[•‰‰×,0.77,-70,-224,0.77,-68,-217,0.76,-74,-258,0.75,-72,-258,0.75,-65,-305,0.76,-53,-302,0.76,-43,-331,0.75,-18,-18
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.74,57,0,0.69,77,0,0.66,92,0,0.65,107,0,0.68,117,0,0.73,62,0,0.67,103,0,0.71,46,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,194,0,0,277,0,0,249,0,0,294,0,0,187,0,0,333,0,0,257,-0.04,1,53
,,,,,’g–[•‰‰×,0.77,-38,-197,0.75,-41,-280,0.77,-42,-260,0.77,-35,-291,0.78,-26,-169,0.78,-23,-306,0.77,-32,-240,0.77,-13,-13
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.74,46,0,0.67,77,0,0.65,85,0,0.67,86,0,0.69,82,0,0.72,58,0,0.69,97,0,0.74,46,0
ƒzƒeƒ‹“™,H“°,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0.06,7,324,0,0,374,-0.02,1,339,0.12,10,352,0.4,16,435,0.62,16,103,0.51,16,485,0.74,8,94
,,,,,’g–[•‰‰×,0.77,-22,-285,0.78,-15,-341,0.78,-12,-306,0.79,-9,-291,0.76,-12,-346,0.68,-19,-19,0.76,-14,-381,0.72,-9,-9
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.71,53,0,0.67,77,0,0.67,66,0,0.67,68,0,0.67,60,0,0.73,42,0,0.68,69,0,0.75,37,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,187,0,0,181,0,0,201,0,0,224,0,0,292,0,0,290,0,0,343,-0.13,8,341
,,,,,’g–[•‰‰×,0.77,-70,-244,0.77,-69,-233,0.76,-74,-262,0.76,-73,-278,0.75,-65,-323,0.76,-53,-313,0.76,-44,-346,0.75,-19,-333
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.73,61,0,0.68,79,0,0.65,95,0,0.64,111,0,0.67,120,0,0.72,66,0,0.66,107,0,0.69,49,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,254,0,0,296,0,0,267,0,0,301,0,0,302,0,0,362,0,0,336,-0.05,1,408
,,,,,’g–[•‰‰×,0.77,-39,-261,0.75,-41,-303,0.77,-43,-280,0.77,-36,-302,0.78,-26,-287,0.78,-24,-339,0.77,-32,-323,0.77,-13,-373
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.73,48,0,0.66,80,0,0.64,88,0,0.66,88,0,0.68,84,0,0.71,61,0,0.68,100,0,0.73,49,0
ƒzƒeƒ‹“™,XˆßŽº,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0.04,11,243,-0.01,0,320,0,5,270,0.11,15,217,0.34,21,130,0.56,24,141,0.49,21,154,0.72,13,133
,,,,,’g–[•‰‰×,0.88,-16,-169,0.9,-9,-249,0.89,-9,-196,0.88,-11,-123,0.85,-15,-15,0.74,-24,-24,0.84,-18,-18,0.78,-13,-13
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.76,47,0,0.72,74,0,0.72,62,0,0.72,64,0,0.72,56,0,0.78,36,0,0.73,65,0,0.8,32,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,171,0,0,151,0,0,165,0,0,186,0,0,249,0,0,225,0,0,265,0.34,10,140
,,,,,’g–[•‰‰×,0.9,-37,-168,0.89,-37,-143,0.89,-39,-162,0.89,-38,-176,0.89,-33,-219,0.89,-28,-191,0.89,-23,-215,0.87,-12,-12
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.77,55,0,0.73,75,0,0.7,91,0,0.69,105,0,0.72,115,0,0.77,59,0,0.71,101,0,0.75,43,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,206,0,0,237,0,0,213,0,0,245,0.01,3,245,0.01,9,289,0,0,253,0.03,4,95
,,,,,’g–[•‰‰×,0.89,-23,-165,0.89,-22,-193,0.89,-23,-176,0.9,-20,-198,0.9,-14,-183,0.9,-13,-220,0.89,-17,-192,0.89,-8,-8
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.78,43,0,0.71,75,0,0.69,83,0,0.71,84,0,0.72,81,0,0.76,55,0,0.72,96,0,0.78,43,0
ƒzƒeƒ‹“™,˜L‰º24h,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0.04,11,169,-0.01,0,194,0,5,162,0.11,15,181,0.34,21,222,0.56,24,292,0.49,21,271,0.72,13,335
,,,,,’g–[•‰‰×,0.88,-16,-121,0.9,-9,-149,0.89,-9,-113,0.88,-11,-113,0.85,-15,-133,0.74,-24,-207,0.84,-18,-165,0.78,-13,-254
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.76,47,0,0.72,74,0,0.72,62,0,0.72,64,0,0.72,56,0,0.78,36,0,0.73,65,0,0.8,32,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,133,0,0,112,0,0,113,0,0,134,0,0,191,0,0,157,0,0,181,0.34,10,217
,,,,,’g–[•‰‰×,0.9,-37,-155,0.89,-37,-130,0.89,-39,-135,0.89,-38,-149,0.89,-33,-185,0.89,-28,-148,0.89,-23,-156,0.87,-12,-114
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.77,55,0,0.73,75,0,0.7,91,0,0.69,105,0,0.72,115,0,0.77,59,0,0.71,101,0,0.75,43,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,145,0,0,154,0,0,140,0,0,164,0.01,3,176,0.01,9,199,0,0,188,0.03,4,185
,,,,,’g–[•‰‰×,0.89,-23,-129,0.89,-22,-135,0.89,-23,-128,0.9,-20,-142,0.9,-14,-138,0.9,-13,-156,0.89,-17,-152,0.89,-8,-124
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.78,43,0,0.71,75,0,0.69,83,0,0.71,84,0,0.72,81,0,0.76,55,0,0.72,96,0,0.78,43,0
ƒzƒeƒ‹“™,ƒƒr[24h,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0.04,11,310,-0.01,0,355,0,5,319,0.11,15,331,0.34,21,393,0.56,24,495,0.49,21,456,0.72,13,151
,,,,,’g–[•‰‰×,0.88,-16,-219,0.9,-9,-265,0.89,-9,-226,0.88,-11,-218,0.85,-15,-261,0.74,-24,-366,0.84,-18,-304,0.78,-13,-13
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.76,47,0,0.72,74,0,0.72,62,0,0.72,64,0,0.72,56,0,0.78,36,0,0.73,65,0,0.8,32,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,196,0,0,175,0,0,189,0,0,214,0,0,291,0,0,271,0,0,315,0.34,10,374
,,,,,’g–[•‰‰×,0.9,-37,-173,0.89,-37,-148,0.89,-39,-166,0.89,-38,-184,0.89,-33,-241,0.89,-28,-219,0.89,-23,-247,0.87,-12,-228
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.77,55,0,0.73,75,0,0.7,91,0,0.69,105,0,0.72,115,0,0.77,59,0,0.71,101,0,0.75,43,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,253,0,0,285,0,0,254,0,0,288,0.01,3,307,0.01,9,349,0,0,314,0.03,4,367
,,,,,’g–[•‰‰×,0.89,-23,-192,0.89,-22,-222,0.89,-23,-198,0.9,-20,-222,0.9,-14,-226,0.9,-13,-262,0.89,-17,-235,0.89,-8,-262
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.78,43,0,0.71,75,0,0.69,83,0,0.71,84,0,0.72,81,0,0.76,55,0,0.72,96,0,0.78,43,0
ƒzƒeƒ‹“™,˜L‰º’‹,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.24,-1,15,0,0,106,-0.03,0,88,0.12,8,119,0.42,14,161,0.65,12,205,0.53,13,181,0.75,6,65
,,,,,’g–[•‰‰×,0.72,-24,-83,0.74,-17,-97,0.74,-13,-82,0.76,-7,-80,0.73,-11,-93,0.67,-14,-144,0.74,-10,-100,0.7,-7,-7
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.69,53,0,0.65,77,0,0.66,66,0,0.65,68,0,0.65,60,0,0.72,42,0,0.67,69,0,0.74,37,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,62,0,0,55,0,0,55,0,0,66,0,0,94,0,0,79,0,0,105,-0.62,8,17
,,,,,’g–[•‰‰×,0.73,-81,-153,0.73,-79,-141,0.71,-85,-149,0.71,-84,-152,0.71,-75,-157,0.71,-62,-132,0.71,-50,-136,0.71,-21,-116
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.72,60,0,0.67,78,0,0.64,93,0,0.63,109,0,0.66,119,0,0.71,65,0,0.65,105,0,0.69,48,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,70,0,0,75,0,0,69,0,0,84,0,0,78,0,0,106,0,0,105,-0.02,0,124
,,,,,’g–[•‰‰×,0.72,-44,-103,0.71,-47,-110,0.72,-49,-111,0.73,-41,-112,0.74,-30,-89,0.73,-27,-108,0.73,-37,-119,0.73,-14,-110
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.71,49,0,0.64,79,0,0.63,87,0,0.65,88,0,0.66,84,0,0.7,60,0,0.67,99,0,0.71,49,0
ƒzƒeƒ‹“™,ƒƒr[’‹,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.24,-1,245,0,0,403,-0.03,0,53,0.12,8,81,0.42,14,110,0.65,12,113,0.53,13,128,0.75,6,106
,,,,,’g–[•‰‰×,0.72,-24,-279,0.74,-17,-361,0.74,-13,-13,0.76,-7,-7,0.73,-11,-11,0.67,-14,-14,0.74,-10,-10,0.7,-7,-7
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.69,53,0,0.65,77,0,0.66,66,0,0.65,68,0,0.65,60,0,0.72,42,0,0.67,69,0,0.74,37,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,155,0,0,157,0,0,188,0,0,192,0,0,252,0,0,261,0,0,308,-0.62,8,8
,,,,,’g–[•‰‰×,0.73,-81,-209,0.73,-79,-206,0.71,-85,-249,0.71,-84,-245,0.71,-75,-281,0.71,-62,-280,0.71,-50,-306,0.71,-21,-21
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.72,60,0,0.67,78,0,0.64,93,0,0.63,109,0,0.66,119,0,0.71,65,0,0.65,105,0,0.69,48,0
