様式 3. (照明)照明入力シート,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
階,室名,建物用途,室用途,天井高,室の間口,室の奥行,室面積,室指数,計画照明器具仕様,,,,制御による補正,,,,,
2F,ｼﾝｸﾞﾙ(W2),ホテル等,客室全般,2.40 ,0.00 ,0.00 ,12.90 ,0.6 ,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
2F,ｼﾝｸﾞﾙ(W2)UB,ホテル等,客室（洗面）,2.40 ,1.65 ,1.35 ,2.23 ,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
2F,ｼﾝｸﾞﾙ(W3),ホテル等,客室全般,2.40 ,0.00 ,0.00 ,12.90 ,0.6 ,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
2F,ｼﾝｸﾞﾙ(W3)UB,ホテル等,客室（洗面）,2.40 ,1.65 ,1.35 ,2.23 ,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
2F,ｼﾝｸﾞﾙ(NW),ホテル等,客室全般,2.40 ,0.00 ,0.00 ,14.00 ,0.6 ,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
2F,ｼﾝｸﾞﾙ(NW)UB,ホテル等,客室（洗面）,2.40 ,1.65 ,1.35 ,2.23 ,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
2F,EVﾎｰﾙ,ホテル等,ロビー（終日）,2.40 ,0.00 ,0.00 ,22.20 ,0.8 ,ﾀﾞｳﾝﾗｲﾄ,,45,10,,,,,,
2F,廊下,ホテル等,廊下（終日）,2.40 ,0.00 ,0.00 ,25.20 ,0.7 ,ﾀﾞｳﾝﾗｲﾄ,,45,10,,,,,,
2F,ｼﾝｸﾞﾙ(NE),ホテル等,客室全般,2.40 ,0.00 ,0.00 ,14.20 ,0.6 ,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
2F,ｼﾝｸﾞﾙ(NE)UB,ホテル等,客室（洗面）,2.40 ,1.65 ,1.35 ,2.23 ,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
2F,ｼﾝｸﾞﾙ(E1),ホテル等,客室全般,2.40 ,0.00 ,0.00 ,13.00 ,0.6 ,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
2F,ｼﾝｸﾞﾙ(E1)UB,ホテル等,客室（洗面）,2.40 ,1.65 ,1.35 ,2.23 ,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
2F,自販機,ホテル等,廊下（終日）,2.40 ,2.10 ,2.50 ,5.25 ,,ﾀﾞｳﾝﾗｲﾄ,,45,2,,,,,,
2F,ﾘﾈﾝ室,ホテル等,湯沸室等,2.40 ,0.00 ,0.00 ,10.30 ,0.6 ,ﾀﾞｳﾝﾗｲﾄ,,45,5,,,,,,
2F,PS(E),ホテル等,電気・機械室（標準）,2.40 ,1.30 ,1.93 ,2.51 ,,反射傘付,,22,1,,,,,,
2F,ﾂｲﾝ(E),ホテル等,客室全般,2.40 ,0.00 ,0.00 ,20.40 ,0.8 ,ﾀﾞｳﾝﾗｲﾄ,,60,5,,,,,,
2F,ﾂｲﾝ(E)UB,ホテル等,客室（洗面）,2.40 ,1.45 ,1.87 ,2.71 ,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
2F,ｼﾝｸﾞﾙ(E2),ホテル等,客室全般,2.40 ,0.00 ,0.00 ,13.00 ,0.6 ,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
2F,ｼﾝｸﾞﾙ(E2)UB,ホテル等,客室（洗面）,2.40 ,1.65 ,1.35 ,2.23 ,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
2F,ｼﾝｸﾞﾙ(E3),ホテル等,客室全般,2.40 ,0.00 ,0.00 ,13.00 ,0.6 ,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
2F,ｼﾝｸﾞﾙ(E3)UB,ホテル等,客室（洗面）,2.40 ,1.65 ,1.35 ,2.23 ,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
2F,ｼﾝｸﾞﾙ(SE),ホテル等,客室全般,2.40 ,0.00 ,0.00 ,14.00 ,0.6 ,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
2F,ｼﾝｸﾞﾙ(SE)UB,ホテル等,客室（洗面）,2.40 ,1.65 ,1.35 ,2.23 ,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
3F,階段室,ホテル等,廊下（終日）,3.20 ,3.45 ,6.18 ,21.32 ,,階段通路誘導灯,,95,2,,,,,,
3F,収納,ホテル等,湯沸室等,2.40 ,1.68 ,2.84 ,4.75 ,,ﾀﾞｳﾝﾗｲﾄ,,35,3,,,,,,
3F,ﾂｲﾝ(W),ホテル等,客室全般,2.40 ,0.00 ,0.00 ,19.80 ,0.8 ,ﾀﾞｳﾝﾗｲﾄ,,60,5,,,,,,
3F,ﾂｲﾝ(W)UB,ホテル等,客室（洗面）,2.40 ,1.85 ,1.50 ,2.78 ,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
3F,ｼﾝｸﾞﾙ(W1),ホテル等,客室全般,2.40 ,0.00 ,0.00 ,12.90 ,0.6 ,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
3F,ｼﾝｸﾞﾙ(W1)UB,ホテル等,客室（洗面）,2.40 ,1.65 ,1.35 ,2.23 ,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
3F,ｼﾝｸﾞﾙ(W2),ホテル等,客室全般,2.40 ,0.00 ,0.00 ,12.90 ,0.6 ,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
3F,ｼﾝｸﾞﾙ(W2)UB,ホテル等,客室（洗面）,2.4,1.65,1.35,2.2275,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
3F,ｼﾝｸﾞﾙ(W3),ホテル等,客室全般,2.4,0,0,12.9,0.565194532,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
3F,ｼﾝｸﾞﾙ(W3)UB,ホテル等,客室（洗面）,2.4,1.65,1.35,2.2275,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
3F,ｼﾝｸﾞﾙ(NW),ホテル等,客室全般,2.4,0,0,14,0.616631431,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
3F,ｼﾝｸﾞﾙ(NW)UB,ホテル等,客室（洗面）,2.4,1.65,1.35,2.2275,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
3F,EVﾎｰﾙ,ホテル等,ロビー（終日）,2.4,0,0,22.2,0.831834532,ﾀﾞｳﾝﾗｲﾄ,,45,10,,,,,,
3F,廊下,ホテル等,廊下（終日）,2.4,0,0,25.2,0.650154799,ﾀﾞｳﾝﾗｲﾄ,,45,10,,,,,,
3F,ｼﾝｸﾞﾙ(NE),ホテル等,客室全般,2.4,0,0,14.2,0.627097686,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
3F,ｼﾝｸﾞﾙ(NE)UB,ホテル等,客室（洗面）,2.4,1.65,1.35,2.2275,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
3F,ｼﾝｸﾞﾙ(E1),ホテル等,客室全般,2.4,0,0,13,0.571077139,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
3F,ｼﾝｸﾞﾙ(E1)UB,ホテル等,客室（洗面）,2.4,1.65,1.35,2.2275,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
3F,自販機,ホテル等,廊下（終日）,2.4,2.1,2.5,5.25,,ﾀﾞｳﾝﾗｲﾄ,,45,2,,,,,,
3F,ﾘﾈﾝ室,ホテル等,湯沸室等,2.4,0,0,10.3,0.587899543,ﾀﾞｳﾝﾗｲﾄ,,45,5,,,,,,
3F,PS(E),ホテル等,電気・機械室（標準）,2.4,1.3,1.93,2.509,,反射傘付,,22,1,,,,,,
3F,ﾂｲﾝ(E),ホテル等,客室全般,2.4,0,0,20.4,0.798122066,ﾀﾞｳﾝﾗｲﾄ,,60,5,,,,,,
3F,ﾂｲﾝ(E)UB,ホテル等,客室（洗面）,2.4,1.45,1.87,2.7115,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
3F,ｼﾝｸﾞﾙ(E2),ホテル等,客室全般,2.4,0,0,13,0.571077139,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
3F,ｼﾝｸﾞﾙ(E2)UB,ホテル等,客室（洗面）,2.4,1.65,1.35,2.2275,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
3F,ｼﾝｸﾞﾙ(E3),ホテル等,客室全般,2.4,0,0,13,0.571077139,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
3F,ｼﾝｸﾞﾙ(E3)UB,ホテル等,客室（洗面）,2.4,1.65,1.35,2.2275,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
3F,ｼﾝｸﾞﾙ(SE),ホテル等,客室全般,2.4,0,0,14,0.618265324,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
3F,ｼﾝｸﾞﾙ(SE)UB,ホテル等,客室（洗面）,2.4,1.65,1.35,2.2275,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
4F,階段室,ホテル等,廊下（終日）,3.2,3.45,6.18,21.321,,階段通路誘導灯,,95,2,,,,,,
4F,収納,ホテル等,湯沸室等,2.4,1.675,2.835,4.748625,,ﾀﾞｳﾝﾗｲﾄ,,35,3,,,,,,
4F,ﾂｲﾝ(W),ホテル等,客室全般,2.4,0,0,19.8,0.772833724,ﾀﾞｳﾝﾗｲﾄ,,60,5,,,,,,
4F,ﾂｲﾝ(W)UB,ホテル等,客室（洗面）,2.4,1.85,1.5,2.775,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
4F,ｼﾝｸﾞﾙ(W1),ホテル等,客室全般,2.4,0,0,12.9,0.565194532,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
4F,ｼﾝｸﾞﾙ(W1)UB,ホテル等,客室（洗面）,2.4,1.65,1.35,2.2275,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
4F,ｼﾝｸﾞﾙ(W2),ホテル等,客室全般,2.4,0,0,12.9,0.565194532,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
4F,ｼﾝｸﾞﾙ(W2)UB,ホテル等,客室（洗面）,2.4,1.65,1.35,2.2275,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
4F,ｼﾝｸﾞﾙ(W3),ホテル等,客室全般,2.4,0,0,12.9,0.565194532,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
4F,ｼﾝｸﾞﾙ(W3)UB,ホテル等,客室（洗面）,2.4,1.65,1.35,2.2275,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
4F,ｼﾝｸﾞﾙ(NW),ホテル等,客室全般,2.4,0,0,14,0.616631431,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
4F,ｼﾝｸﾞﾙ(NW)UB,ホテル等,客室（洗面）,2.4,1.65,1.35,2.2275,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
4F,EVﾎｰﾙ,ホテル等,ロビー（終日）,2.4,0,0,22.2,0.831834532,ﾀﾞｳﾝﾗｲﾄ,,45,10,,,,,,
4F,廊下,ホテル等,廊下（終日）,2.4,0,0,25.2,0.650154799,ﾀﾞｳﾝﾗｲﾄ,,45,10,,,,,,
4F,ｼﾝｸﾞﾙ(NE),ホテル等,客室全般,2.4,0,0,14.2,0.627097686,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
4F,ｼﾝｸﾞﾙ(NE)UB,ホテル等,客室（洗面）,2.4,1.65,1.35,2.2275,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
4F,ｼﾝｸﾞﾙ(E1),ホテル等,客室全般,2.4,0,0,13,0.571077139,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
4F,ｼﾝｸﾞﾙ(E1)UB,ホテル等,客室（洗面）,2.4,1.65,1.35,2.2275,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
4F,自販機,ホテル等,廊下（終日）,2.4,2.1,2.5,5.25,,ﾀﾞｳﾝﾗｲﾄ,,45,2,,,,,,
4F,ﾘﾈﾝ室,ホテル等,湯沸室等,2.4,0,0,10.3,0.587899543,ﾀﾞｳﾝﾗｲﾄ,,45,5,,,,,,
4F,PS(E),ホテル等,電気・機械室（標準）,2.4,1.3,1.93,2.509,,反射傘付,,22,1,,,,,,
4F,ﾂｲﾝ(E),ホテル等,客室全般,2.4,0,0,20.4,0.798122066,ﾀﾞｳﾝﾗｲﾄ,,60,5,,,,,,
4F,ﾂｲﾝ(E)UB,ホテル等,客室（洗面）,2.4,1.45,1.87,2.7115,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
4F,ｼﾝｸﾞﾙ(E2),ホテル等,客室全般,2.4,0,0,13,0.571077139,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
4F,ｼﾝｸﾞﾙ(E2)UB,ホテル等,客室（洗面）,2.4,1.65,1.35,2.2275,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
4F,ｼﾝｸﾞﾙ(E3),ホテル等,客室全般,2.4,0,0,13,0.571077139,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
4F,ｼﾝｸﾞﾙ(E3)UB,ホテル等,客室（洗面）,2.4,1.65,1.35,2.2275,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
4F,ｼﾝｸﾞﾙ(SE),ホテル等,客室全般,2.4,0,0,14,0.618265324,ﾀﾞｳﾝﾗｲﾄ,,60,3,,,,,,
4F,ｼﾝｸﾞﾙ(SE)UB,ホテル等,客室（洗面）,2.4,1.65,1.35,2.2275,,ﾌﾞﾗｹｯﾄ,,40,1,,,,,,
