様式 2-4. (空調) 外皮仕様入力シート,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
①,①,外皮構成,,,,,,,
,,日陰,,,SBW1,11.4,,,
1F,食品庫1,東,,,OW1,12.9,,,
,,日陰,,,SBW1,9.9,,,
1F,検収室,北,,,OW1,10.75,,,
,,日陰,,,SBW1,37,,,
1F,ゴミ置場,北,,,OW1,10.75,,,
,,日陰,,,SBW1,41.3,,,
1F,コンビニエンス,西,,,OW1,32.25,,,
,,日陰,,,SBW1,84.9,,,
1F,ケアショップ,日陰,,,SBW1,52.4,,,
1F,理髪室,日陰,,,SBW1,12,,,
1F,サプライセンター,日陰,,,SBW1,47,,,
1F,ランドリー,日陰,,,SBW1,28.4,,,
1F,霊安室,東,,,OW1,17.2,WNDW3,1.4,有
,,日陰,,,SBW1,13.2,,,
1F,女子更衣室１,東,,,OW1,32.25,WNDW3,0.96,有
,,日陰,,,SBW1,47,,,
1F,女子更衣室２,東,,,OW1,32.25,WNDW3,0.96,有
,,南,,,OW1,25.8,,,
,,日陰,,,SBW1,37.6,,,
1F,クリーンスタッフ更衣室,北,,,OW1,12.9,WNDW3,2.56,有
,,日陰,,,SBW1,36,,,
1F,一般老健 レクレーションコーナー,西,,,OW1,24.6,,,
,,北,,,OW1,18.45,WNDW1,4.9,有
,,日陰,,,SBW1,27,,,
1F,一般老健 談話コーナー,東,,,OW1,24.6,,,
,,北,,,OW1,18.45,WNDW1,4.9,有
,,日陰,,,SBW1,28.5,,,
1F,一般老健 検体検査室,西,,,OW1,22.55,WNDW1,3.5,有
,,日陰,,,SBW1,48.1,,,
1F,一般老健 診察室,日陰,,,SBW1,8.8,,,
1F,一般老健 廊下,南,,,OW1,22.55,WNDW1,10,有
,,北,,,OW1,47.15,WNDW1,14,有
,,日陰,,,SBW1,386.9,,,
1F,一般老健 食堂1,東,,,OW1,30.75,WNDW1,9.1,有
,,日陰,,,SBW1,52.5,,,
1F,一般老健 食堂2,西,,,OW1,30.75,WNDW1,9.1,有
,,日陰,,,SBW1,52.5,,,
1F,ボランティアルーム,東,,,OW1,13.53,WNDW1,1.4,有
,,日陰,,,SBW1,21.5,,,
1F,一般老健 特別浴室,西,,,OW1,18.45,WNDW1,2.8,有
,,日陰,,,SBW1,45.5,,,
1F,一般老健 機能訓練回復コーナー,南,,,OW1,34.85,WNDW1,5.04,有
,,日陰,,,SBW1,52.1,,,
1F,一般老健 サービスステーション,日陰,,,SBW1,26.8,,,
1F,看護師長室,東,,,OW1,22.55,WNDW1,1.68,有
,,日陰,,,SBW1,21.2,,,
1F,施設長室,東,,,OW1,12.3,WNDW1,0.84,有
,,南,,,OW1,26.65,WNDW1,1.68,有
,,日陰,,,SBW1,18,,,
1F,スタッフ控室,南,,,OW1,24.6,WNDW1,1.68,有
,,日陰,,,SBW1,11.9,,,
1F,一般老健 療養室（１人）1,西,,,OW1,15.375,WNDW1,3.5,有
,,日陰,,,SBW1,15,,,
1F,一般老健 療養室（１人）2,西,,,OW1,15.375,WNDW1,3.5,有
,,日陰,,,SBW1,15,,,
1F,一般老健 療養室（１人）3,西,,,OW1,15.375,WNDW1,3.5,有
,,日陰,,,SBW1,15,,,
1F,一般老健 療養室（１人）4,西,,,OW1,15.375,WNDW1,3.5,有
,,日陰,,,SBW1,15,,,
1F,一般老健 療養室（１人）5,西,,,OW1,15.375,WNDW1,3.5,有
,,日陰,,,SBW1,15,,,
1F,一般老健 療養室（１人）6,西,,,OW1,15.375,WNDW1,3.5,有
,,日陰,,,SBW1,15,,,
1F,一般老健 療養室（4人）1,北,,,OW1,24.6,WNDW1,7.7,有
,,日陰,,,SBW1,36,,,
1F,一般老健 療養室（4人）2,北,,,OW1,24.6,WNDW1,7.7,有
,,日陰,,,SBW1,36,,,
1F,一般老健 療養室（4人）3,北,,,OW1,24.6,WNDW1,7.7,有
,,日陰,,,SBW1,36,,,
1F,一般老健 療養室（4人）4,北,,,OW1,24.6,WNDW1,7.7,有
,,日陰,,,SBW1,36,,,
1F,一般老健 療養室（4人）5,東,,,OW1,24.6,WNDW1,7.7,有
,,日陰,,,SBW1,36,,,
1F,一般老健 療養室（4人）6,東,,,OW1,24.6,WNDW1,7.7,有
,,日陰,,,SBW1,36,,,
1F,一般老健 療養室（4人）7,東,,,OW1,24.6,WNDW1,7.7,有
,,日陰,,,SBW1,36,,,
1F,一般老健 療養室（4人）8,東,,,OW1,24.6,WNDW1,7.7,有
,,日陰,,,SBW1,36,,,
1F,痴呆症老健 療養室（2人）,西,,,OW1,15.375,WNDW1,3.5,有
,,日陰,,,SBW1,24,,,
1F,痴呆症老健 デイコーナー1,西,,,OW1,24.6,,,
,,南,,,OW1,18.45,WNDW1,4.9,有
,,日陰,,,SBW1,27,,,
1F,痴呆症老健 食堂1,東,,,OW1,30.75,WNDW1,9.1,有
,,日陰,,,SBW1,52.5,,,
1F,痴呆症老健 食堂2,西,,,OW1,30.75,WNDW1,9.1,有
,,日陰,,,SBW1,52.5,,,
1F,痴呆症老健 廊下,北,,,OW1,22.55,WNDW1,10,有
,,南,,,OW1,47.15,WNDW1,14,有
,,日陰,,,SBW1,398.1,,,
1F,痴呆症老健 デイコーナー2,東,,,OW1,24.6,,,
,,南,,,OW1,18.45,WNDW1,4.9,有
,,日陰,,,SBW1,28.5,,,
1F,痴呆症老健 デイコーナー3,北,,,OW1,24.6,WNDW1,7,有
,,日陰,,,SBW1,21,,,
1F,痴呆症老健 デイコーナー4,北,,,OW1,34.85,WNDW1,5.04,有
,,日陰,,,SBW1,31.1,,,
1F,痴呆症老健 サービスステーション,日陰,,,SBW1,35.3,,,
1F,スタッフ控室2,日陰,,,SBW1,12.25,,,
1F,家族相談室,日陰,,,SBW1,8.75,,,
1F,痴呆症老健 家族介護教室,日陰,,,SBW1,33.6,,,
1F,痴呆症老健 診察室,西,,,OW1,16.4,WNDW1,2.8,有
,,日陰,,,SBW1,8.9,,,
1F,痴呆症老健 療養室（１人）1,西,,,OW1,15.375,WNDW1,3.5,有
,,日陰,,,SBW1,15,,,
1F,痴呆症老健 療養室（１人）2,西,,,OW1,15.375,WNDW1,3.5,有
,,日陰,,,SBW1,15,,,
1F,痴呆症老健 療養室（１人）3,西,,,OW1,15.375,WNDW1,3.5,有
,,日陰,,,SBW1,15,,,
1F,痴呆症老健 療養室（１人）4,西,,,OW1,15.375,WNDW1,3.5,有
,,日陰,,,SBW1,15,,,
1F,痴呆症老健 療養室（１人）5,西,,,OW1,15.375,WNDW1,3.5,有
,,日陰,,,SBW1,15,,,
1F,痴呆症老健 療養室（１人）6,西,,,OW1,15.375,WNDW1,3.5,有
,,日陰,,,SBW1,15,,,
1F,痴呆症老健 療養室（4人）1,南,,,OW1,24.6,WNDW1,7.7,有
,,日陰,,,SBW1,36,,,
1F,痴呆症老健 療養室（4人）2,南,,,OW1,24.6,WNDW1,7.7,有
,,日陰,,,SBW1,36,,,
1F,痴呆症老健 療養室（4人）3,南,,,OW1,24.6,WNDW1,7.7,有
,,日陰,,,SBW1,36,,,
1F,痴呆症老健 療養室（4人）4,南,,,OW1,24.6,WNDW1,7.7,有
,,日陰,,,SBW1,36,,,
1F,痴呆症老健 療養室（4人）5,東,,,OW1,24.6,WNDW1,7.7,有
,,日陰,,,SBW1,36,,,
1F,痴呆症老健 療養室（4人）6,東,,,OW1,24.6,WNDW1,7.7,有
,,日陰,,,SBW1,36,,,
1F,痴呆症老健 療養室（4人）7,東,,,OW1,24.6,WNDW1,7.7,有
,,日陰,,,SBW1,36,,,
1F,痴呆症老健 療養室（4人）8,東,,,OW1,24.6,WNDW1,7.7,有
,,日陰,,,SBW1,36,,,
2F,リハビリ棟 リハビリセンター,西,,,OW1,87.4,WNDW3,13.6,有
,,北,,,OW1,45.6,WNDW3,20,有
,,水平,,,OR2,440.8,,,
2F,リハビリ棟 リハビリサロン,西,,,OW1,28.5,WNDW3,14,有
,,水平,,,OR2,147.3,,,
2F,リハビリ棟 廊下,水平,,,OR2,105,,,
2F,外来待合,北,,,OW1,22.8,WNDW3,3.36,有
,,水平,,,OR2,42,,,
2F,外来受付,北,,,OW1,11.4,WNDW3,1.68,有
,,水平,,,OR2,10.5,,,
2F,リハビリ棟 ST-1,北,,,OW1,11.4,WNDW3,1.68,有
,,東,,,OW1,19,WNDW3,2.24,有
,,水平,,,OR2,16.1,,,
2F,リハビリ棟 前室,水平,,,OR2,25.3,,,
2F,リハビリ棟 ST-2,東,,,OW1,9.5,WNDW3,1.68,有
,,水平,,,OR2,10.5,,,
2F,リハビリ棟 ST-3,東,,,OW1,9.5,WNDW3,1.68,有
,,水平,,,OR2,10.5,,,
2F,リハビリ棟 評価室1,東,,,OW1,9.5,WNDW3,1.68,有
,,水平,,,OR2,10.5,,,
2F,リハビリ棟 評価室2,東,,,OW1,9.5,WNDW3,1.68,有
,,水平,,,OR2,10.5,,,
2F,リハビリ棟 ADL,北,,,OW1,9.5,,,
,,東,,,OW1,19,WNDW3,1.12,有
,,水平,,,OR2,58.5,,,
2F,リハビリ棟 スタッフルーム,東,,,OW1,28.5,WNDW3,14,有
,,南,,,OW1,9.5,WNDW3,5,有
,,水平,,,OR2,65.8,,,
2F,スタッフ控室,東,,,OW1,11.4,WNDW3,1.68,有
,,水平,,,OR2,9,,,
2F,監理棟 会議室1,西,,,OW1,28.5,WNDW3,2.8,有
,,水平,,,OR2,45.8,,,
2F,監理棟 会議室2,西,,,OW1,28.5,WNDW3,2.8,有
,,水平,,,OR2,49.2,,,
2F,ミーティング室1,西,,,OW1,14.25,WNDW3,2.8,有
,,水平,,,OR2,17,,,
2F,ミーティング室2,西,,,OW1,14.25,WNDW3,2.8,有
,,水平,,,OR2,17,,,
2F,小会議室,西,,,OW1,14.25,WNDW3,2.8,有
,,水平,,,OR2,21,,,
2F,理事長室,西,,,OW1,14.25,WNDW3,2.8,有
,,水平,,,OR2,21,,,
2F,監理棟 医局,東,,,OW1,28.5,WNDW3,5.04,有
,,北,,,OR2,57.3,,,
2F,師長室,東,,,OW1,14.25,WNDW3,2.52,有
,,北,,,OR2,19.5,,,
2F,看護師宿直室,北,,,OR2,16.5,,,
2F,医師宿直室,東,,,OW1,11.4,,,
,,北,,,OR2,15,,,
2F,図書室,北,,,OR2,21,,,
2F,院長室,南,,,OW1,11.4,WNDW3,2.24,有
,,西,,,OW1,22.8,,,
,,水平,,,OR2,17.4,,,
2F,副院長室1,南,,,OW1,11.4,WNDW3,2.24,有
,,水平,,,OR2,17.4,,,
2F,副院長室2,南,,,OW1,11.4,WNDW3,2.24,有
,,水平,,,OR2,17.4,,,
2F,看護部長室,南,,,OW1,22.8,WNDW3,4.48,有
,,水平,,,OR2,31.9,,,
2F,北ウイング病棟 デイコーナー1,西,,,OW1,24.6,,,
,,北,,,OW1,18.45,WNDW1,4.9,有
2F,北ウイング病棟 デイコーナー2,東,,,OW1,24.6,,,
,,北,,,OW1,18.45,WNDW1,4.9,有
2F,北ウイング病棟 デイコーナー3,北,,,OW1,24.6,WNDW1,7,有
2F,多目的室N,南,,,OW1,24.6,WNDW1,7,有
2F,北ウイング病棟 個別浴室,西,,,OW1,12.3,WNDW1,1.12,
2F,北ウイング病棟 廊下,南,,,OW1,24.6,WNDW1,10,
,,南,,,OW1,41,WNDW1,5.6,
2F,北ウイング病棟 病室W（1B）1,西,,,OW1,15.375,WNDW1,3.5,有
2F,北ウイング病棟 病室W（1B）2,西,,,OW1,15.375,WNDW1,3.5,有
2F,北ウイング病棟 病室W（1B）3,西,,,OW1,15.375,WNDW1,3.5,有
2F,北ウイング病棟 病室W（1B）4,西,,,OW1,15.375,WNDW1,3.5,有
2F,北ウイング病棟 病室W（1B）5,西,,,OW1,15.375,WNDW1,3.5,有
2F,北ウイング病棟 病室W（1B）6,西,,,OW1,15.375,WNDW1,3.5,有
2F,北ウイング病棟 病室E（1B）7,東,,,OW1,15.375,WNDW1,3.5,有
2F,北ウイング病棟 病室E（1B）8,東,,,OW1,15.375,WNDW1,3.5,有
2F,北ウイング病棟 病室N（1B）9,北,,,OW1,24.6,WNDW1,7.7,有
2F,北ウイング病棟 病室N（1B）10,北,,,OW1,24.6,WNDW1,7.7,有
2F,北ウイング病棟 病室N（1B）11,北,,,OW1,24.6,WNDW1,7.7,有
2F,北ウイング病棟 病室N（1B）12,北,,,OW1,24.6,WNDW1,7.7,有
2F,北ウイング病棟 病室E（1B）13,東,,,OW1,24.6,WNDW1,7.7,有
2F,北ウイング病棟 病室E（1B）14,東,,,OW1,24.6,WNDW1,7.7,有
2F,北ウイング病棟 病室E（1B）15,東,,,OW1,24.6,WNDW1,7.7,有
2F,北ウイング病棟 病室E（1B）16,東,,,OW1,24.6,WNDW1,7.7,有
2F,北ウイング病棟 観察室,西,,,OW1,15.375,WNDW1,3.5,有
2F,ST室N,北,,,OW1,24.6,WNDW1,7,有
2F,北ウイング病棟 中央ステーション,西,,,OW1,18.45,,,
2F,食堂,東,,,OW1,92.25,WNDW1,40,有
2F,南ウイング病棟 デイコーナー1,西,,,OW1,24.6,,,
,,南,,,OW1,18.45,WNDW1,4.9,有
2F,南ウイング病棟 デイコーナー2,東,,,OW1,24.6,,,
,,南,,,OW1,18.45,WNDW1,4.9,有
2F,南ウイング病棟 デイコーナー3,南,,,OW1,24.6,WNDW1,7,有
2F,多目的室S,北,,,OW1,24.6,WNDW1,7,有
2F,南ウイング病棟 個別浴室,西,,,OW1,12.3,WNDW1,1.12,有
2F,南ウイング病棟 廊下,北,,,OW1,24.6,WNDW1,10,有
,,北,,,OW1,41,WNDW1,5.6,有
2F,南ウイング病棟 病室W（1B）1,西,,,OW1,15.375,WNDW1,3.5,有
2F,南ウイング病棟 病室W（1B）2,西,,,OW1,15.375,WNDW1,3.5,有
2F,南ウイング病棟 病室W（1B）3,西,,,OW1,15.375,WNDW1,3.5,有
2F,南ウイング病棟 病室W（1B）4,西,,,OW1,15.375,WNDW1,3.5,有
2F,南ウイング病棟 病室W（1B）5,西,,,OW1,15.375,WNDW1,3.5,有
2F,南ウイング病棟 病室W（1B）6,西,,,OW1,15.375,WNDW1,3.5,有
2F,南ウイング病棟 病室E（1B）7,東,,,OW1,15.375,WNDW1,3.5,有
2F,南ウイング病棟 病室E（1B）8,東,,,OW1,15.375,WNDW1,3.5,有
2F,南ウイング病棟 病室S（1B）9,南,,,OW1,24.6,WNDW1,7.7,有
2F,南ウイング病棟 病室S（1B）10,南,,,OW1,24.6,WNDW1,7.7,有
2F,南ウイング病棟 病室S（1B）11,南,,,OW1,24.6,WNDW1,7.7,有
2F,南ウイング病棟 病室S（1B）12,南,,,OW1,24.6,WNDW1,7.7,有
2F,南ウイング病棟 病室E（1B）13,東,,,OW1,24.6,WNDW1,7.7,有
2F,南ウイング病棟 病室E（1B）14,東,,,OW1,24.6,WNDW1,7.7,有
2F,南ウイング病棟 病室E（1B）15,東,,,OW1,24.6,WNDW1,7.7,有
2F,南ウイング病棟 病室E（1B）16,東,,,OW1,24.6,WNDW1,7.7,有
2F,南ウイング病棟 観察室,西,,,OW1,15.375,WNDW1,3.5,有
2F,ST室S,南,,,OW1,24.6,WNDW1,7,有
3F,北ウイング病棟 デイコーナー1,西,,,OW1,24.6,,,
,,北,,,OW1,18.45,WNDW1,4.9,有
3F,北ウイング病棟 デイコーナー2,東,,,OW1,24.6,,,
,,北,,,OW1,18.45,WNDW1,4.9,有
3F,北ウイング病棟 デイコーナー3,北,,,OW1,24.6,WNDW1,7,有
3F,多目的室N,南,,,OW1,24.6,WNDW1,7,有
3F,北ウイング病棟 個別浴室,西,,,OW1,12.3,WNDW1,1.12,有
3F,北ウイング病棟 廊下,南,,,OW1,24.6,WNDW1,10,有
,,南,,,OW1,41,WNDW1,5.6,有
3F,北ウイング病棟 病室W（1B）1,西,,,OW1,15.375,WNDW1,3.5,有
3F,北ウイング病棟 病室W（1B）2,西,,,OW1,15.375,WNDW1,3.5,有
3F,北ウイング病棟 病室W（1B）3,西,,,OW1,15.375,WNDW1,3.5,有
3F,北ウイング病棟 病室W（1B）4,西,,,OW1,15.375,WNDW1,3.5,有
3F,北ウイング病棟 病室W（1B）5,西,,,OW1,15.375,WNDW1,3.5,有
3F,北ウイング病棟 病室W（1B）6,西,,,OW1,15.375,WNDW1,3.5,有
3F,北ウイング病棟 病室E（1B）7,東,,,OW1,15.375,WNDW1,3.5,有
3F,北ウイング病棟 病室E（1B）8,東,,,OW1,15.375,WNDW1,3.5,有
3F,北ウイング病棟 病室N（1B）9,北,,,OW1,24.6,WNDW1,7.7,有
3F,北ウイング病棟 病室N（1B）10,北,,,OW1,24.6,WNDW1,7.7,有
3F,北ウイング病棟 病室N（1B）11,北,,,OW1,24.6,WNDW1,7.7,有
3F,北ウイング病棟 病室N（1B）12,北,,,OW1,24.6,WNDW1,7.7,有
3F,北ウイング病棟 病室E（1B）13,東,,,OW1,24.6,WNDW1,7.7,有
3F,北ウイング病棟 病室E（1B）14,東,,,OW1,24.6,WNDW1,7.7,有
3F,北ウイング病棟 病室E（1B）15,東,,,OW1,24.6,WNDW1,7.7,有
3F,北ウイング病棟 病室E（1B）16,東,,,OW1,24.6,WNDW1,7.7,有
3F,北ウイング病棟 観察室,西,,,OW1,15.375,WNDW1,3.5,有
3F,ST室N,北,,,OW1,24.6,WNDW1,7,有
3F,北ウイング病棟 中央ステーション,西,,,OW1,18.45,,,
3F,食堂,東,,,OW1,92.25,WNDW1,40,有
3F,南ウイング病棟 デイコーナー1,西,,,OW1,24.6,,,
,,南,,,OW1,18.45,WNDW1,4.9,有
3F,南ウイング病棟 デイコーナー2,東,,,OW1,24.6,,,
,,南,,,OW1,18.45,WNDW1,4.9,有
3F,南ウイング病棟 デイコーナー3,南,,,OW1,24.6,WNDW1,7,有
3F,多目的室S,北,,,OW1,24.6,WNDW1,7,有
3F,南ウイング病棟 個別浴室,西,,,OW1,12.3,WNDW1,1.12,有
3F,南ウイング病棟 廊下,北,,,OW1,24.6,WNDW1,10,有
,,北,,,OW1,41,WNDW1,5.6,有
3F,南ウイング病棟 病室W（1B）1,西,,,OW1,15.375,WNDW1,3.5,有
3F,南ウイング病棟 病室W（1B）2,西,,,OW1,15.375,WNDW1,3.5,有
3F,南ウイング病棟 病室W（1B）3,西,,,OW1,15.375,WNDW1,3.5,有
3F,南ウイング病棟 病室W（1B）4,西,,,OW1,15.375,WNDW1,3.5,有
3F,南ウイング病棟 病室W（1B）5,西,,,OW1,15.375,WNDW1,3.5,有
3F,南ウイング病棟 病室W（1B）6,西,,,OW1,15.375,WNDW1,3.5,有
3F,南ウイング病棟 病室E（1B）7,東,,,OW1,15.375,WNDW1,3.5,有
3F,南ウイング病棟 病室E（1B）8,東,,,OW1,15.375,WNDW1,3.5,有
3F,南ウイング病棟 病室S（1B）9,南,,,OW1,24.6,WNDW1,7.7,有
3F,南ウイング病棟 病室S（1B）10,南,,,OW1,24.6,WNDW1,7.7,有
3F,南ウイング病棟 病室S（1B）11,南,,,OW1,24.6,WNDW1,7.7,有
3F,南ウイング病棟 病室S（1B）12,南,,,OW1,24.6,WNDW1,7.7,有
3F,南ウイング病棟 病室E（1B）13,東,,,OW1,24.6,WNDW1,7.7,有
3F,南ウイング病棟 病室E（1B）14,東,,,OW1,24.6,WNDW1,7.7,有
3F,南ウイング病棟 病室E（1B）15,東,,,OW1,24.6,WNDW1,7.7,有
3F,南ウイング病棟 病室E（1B）16,東,,,OW1,24.6,WNDW1,7.7,有
3F,南ウイング病棟 観察室,西,,,OW1,15.375,WNDW1,3.5,有
3F,ST室S,南,,,OW1,24.6,WNDW1,7,有
4F,北ウイング病棟 デイコーナー1,西,,,OW1,24.6,,,
,,北,,,OW1,18.45,WNDW1,4.9,有
,,水平,,,OR1,27,,,
4F,北ウイング病棟 デイコーナー2,東,,,OW1,24.6,,,
,,北,,,OW1,18.45,WNDW1,4.9,有
,,水平,,,OR1,27,,,
4F,北ウイング病棟 デイコーナー3,北,,,OW1,24.6,WNDW1,7,有
,,水平,,,OR1,27,,,
4F,多目的室N,南,,,OW1,24.6,WNDW1,7,有
,,水平,,,OR1,21.6,,,
4F,北ウイング病棟 個別浴室,西,,,OW1,12.3,WNDW1,1.12,有
,,水平,,,OR1,36,,,
4F,北ウイング病棟 廊下,南,,,OW1,24.6,WNDW1,10,有
,,南,,,OW1,41,WNDW1,5.6,有
,,水平,,,OR1,388.6,,,
4F,北ウイング病棟 病室W（1B）1,西,,,OW1,15.375,WNDW1,3.5,有
,,水平,,,OR1,16.5,,,
4F,北ウイング病棟 病室W（1B）2,西,,,OW1,15.375,WNDW1,3.5,有
,,水平,,,OR1,16.5,,,
4F,北ウイング病棟 病室W（1B）3,西,,,OW1,15.375,WNDW1,3.5,有
,,水平,,,OR1,16.5,,,
4F,北ウイング病棟 病室W（1B）4,西,,,OW1,15.375,WNDW1,3.5,有
,,水平,,,OR1,16.5,,,
4F,北ウイング病棟 病室W（1B）5,西,,,OW1,15.375,WNDW1,3.5,有
,,水平,,,OR1,16.5,,,
4F,北ウイング病棟 病室W（1B）6,西,,,OW1,15.375,WNDW1,3.5,有
,,水平,,,OR1,16.5,,,
4F,北ウイング病棟 病室E（1B）7,東,,,OW1,15.375,WNDW1,3.5,有
,,水平,,,OR1,36,,,
4F,北ウイング病棟 病室E（1B）8,東,,,OW1,15.375,WNDW1,3.5,有
,,水平,,,OR1,36,,,
4F,北ウイング病棟 病室N（1B）9,北,,,OW1,24.6,WNDW1,7.7,有
,,水平,,,OR1,36,,,
4F,北ウイング病棟 病室N（1B）10,北,,,OW1,24.6,WNDW1,7.7,有
,,水平,,,OR1,36,,,
4F,北ウイング病棟 病室N（1B）11,北,,,OW1,24.6,WNDW1,7.7,有
,,水平,,,OR1,36,,,
4F,北ウイング病棟 病室N（1B）12,北,,,OW1,24.6,WNDW1,7.7,有
,,水平,,,OR1,36,,,
4F,北ウイング病棟 病室E（1B）13,東,,,OW1,24.6,WNDW1,7.7,有
,,水平,,,OR1,36,,,
4F,北ウイング病棟 病室E（1B）14,東,,,OW1,24.6,WNDW1,7.7,有
,,水平,,,OR1,36,,,
4F,北ウイング病棟 病室E（1B）15,東,,,OW1,24.6,WNDW1,7.7,有
,,水平,,,OR1,36,,,
4F,北ウイング病棟 病室E（1B）16,東,,,OW1,24.6,WNDW1,7.7,有
,,水平,,,OR1,36,,,
4F,北ウイング病棟 観察室,西,,,OW1,15.375,WNDW1,3.5,有
,,水平,,,OR1,40,,,
4F,ST室N,北,,,OW1,24.6,WNDW1,7,有
,,水平,,,OR1,32,,,
4F,北ウイング病棟 中央ステーション,西,,,OW1,18.45,,,
4F,食堂,東,,,OW1,92.25,WNDW1,40,有
4F,南ウイング病棟 デイコーナー1,西,,,OW1,24.6,,,
,,南,,,OW1,18.45,WNDW1,4.9,有
,,水平,,,OR1,27,,,
4F,南ウイング病棟 デイコーナー2,東,,,OW1,24.6,,,
,,南,,,OW1,18.45,WNDW1,4.9,有
,,水平,,,OR1,27,,,
4F,南ウイング病棟 デイコーナー3,南,,,OW1,24.6,WNDW1,7,有
,,水平,,,OR1,27,,,
4F,多目的室S,北,,,OW1,24.6,WNDW1,7,有
,,水平,,,OR1,21.6,,,
4F,南ウイング病棟 個別浴室,西,,,OW1,12.3,WNDW1,1.12,有
,,水平,,,OR1,36,,,
4F,南ウイング病棟 廊下,北,,,OW1,24.6,WNDW1,10,有
,,北,,,OW1,41,WNDW1,5.6,有
,,水平,,,OR1,388.6,,,
4F,南ウイング病棟 病室W（1B）1,西,,,OW1,15.375,WNDW1,3.5,有
,,水平,,,OR1,16.5,,,
4F,南ウイング病棟 病室W（1B）2,西,,,OW1,15.375,WNDW1,3.5,有
,,水平,,,OR1,16.5,,,
4F,南ウイング病棟 病室W（1B）3,西,,,OW1,15.375,WNDW1,3.5,有
,,水平,,,OR1,16.5,,,
4F,南ウイング病棟 病室W（1B）4,西,,,OW1,15.375,WNDW1,3.5,有
,,水平,,,OR1,16.5,,,
4F,南ウイング病棟 病室W（1B）5,西,,,OW1,15.375,WNDW1,3.5,有
,,水平,,,OR1,16.5,,,
4F,南ウイング病棟 病室W（1B）6,西,,,OW1,15.375,WNDW1,3.5,有
,,水平,,,OR1,16.5,,,
4F,南ウイング病棟 病室E（1B）7,東,,,OW1,15.375,WNDW1,3.5,有
,,水平,,,OR1,36,,,
4F,南ウイング病棟 病室E（1B）8,東,,,OW1,15.375,WNDW1,3.5,有
,,水平,,,OR1,36,,,
4F,南ウイング病棟 病室S（1B）9,南,,,OW1,24.6,WNDW1,7.7,有
,,水平,,,OR1,36,,,
4F,南ウイング病棟 病室S（1B）10,南,,,OW1,24.6,WNDW1,7.7,有
,,水平,,,OR1,36,,,
4F,南ウイング病棟 病室S（1B）11,南,,,OW1,24.6,WNDW1,7.7,有
,,水平,,,OR1,36,,,
4F,南ウイング病棟 病室S（1B）12,南,,,OW1,24.6,WNDW1,7.7,有
,,水平,,,OR1,36,,,
