様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
室の仕様,,,,,,,空調ゾーン,,空調機群名称,,⑤,,,,,,,,,,,,,,,,,,,,,,,,,,,
①,①,①,①,①,①,①,②,②,③,④,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1F,書庫,事務所等,更衣室,22.1,5.5,2.6,B1F,書庫,ACSI,ACSI,,0.101,0.113,18.2,6.5,0.061,0.019,0.075,0.022,44,22,,2.2321 ,2.4973 ,402.2200 ,0.3842 ,,1.3481 ,0.4199 ,0.0306 ,1.6575 ,0.4862 ,0.0377 ,,0.1651 ,0.0613 ,0.2030 ,0.0753 
B1F,更衣室,事務所等,更衣室,12,5.5,2.6,B1F,更衣室,FCU4,FCU4,,0.101,0.113,18.2,6.5,0.061,0.019,0.075,0.022,44,22,,1.2120 ,1.3560 ,218.4000 ,0.2086 ,,0.7320 ,0.2280 ,0.0166 ,0.9000 ,0.2640 ,0.0205 ,,0.0896 ,0.0333 ,0.1102 ,0.0409 
B1F,清掃員控室,事務所等,更衣室,22.4,5.5,2.6,B1F,清掃員控室,FCU6,FCU6,,0.101,0.113,18.2,6.5,0.061,0.019,0.075,0.022,44,22,,2.2624 ,2.5312 ,407.6800 ,0.3894 ,,1.3664 ,0.4256 ,0.0311 ,1.6800 ,0.4928 ,0.0382 ,,0.1673 ,0.0621 ,0.2057 ,0.0764 
1F,1FEVホール,事務所等,ロビー,37.4,4,2.4,1F,1FEVホール,FCU8,FCU8,,0.086,0.103,15.5,6.5,0.052,0.016,0.068,0.02,44,22,,3.2164 ,3.8522 ,579.7000 ,0.5926 ,,1.9448 ,0.5984 ,0.0442 ,2.5432 ,0.7480 ,0.0578 ,,0.2381 ,0.0884 ,0.3114 ,0.1156 
2F,2FEVホール,事務所等,ロビー,37.4,4,2.4,2F,2FEVホール,FCU8,FCU8,,0.086,0.103,15.5,6.5,0.052,0.016,0.068,0.02,44,22,,3.2164 ,3.8522 ,579.7000 ,0.5926 ,,1.9448 ,0.5984 ,0.0442 ,2.5432 ,0.7480 ,0.0578 ,,0.2381 ,0.0884 ,0.3114 ,0.1156 
3F,3FEVホール,事務所等,ロビー,37.4,4,2.4,3F,3FEVホール,FCU8,FCU8,,0.086,0.103,15.5,6.5,0.052,0.016,0.068,0.02,44,22,,3.2164 ,3.8522 ,579.7000 ,0.5926 ,,1.9448 ,0.5984 ,0.0442 ,2.5432 ,0.7480 ,0.0578 ,,0.2381 ,0.0884 ,0.3114 ,0.1156 
4F,4FEVホール,事務所等,ロビー,37.4,4,2.4,4F,4FEVホール,FCU8,FCU8,,0.086,0.103,15.5,6.5,0.052,0.016,0.068,0.02,44,22,,3.2164 ,3.8522 ,579.7000 ,0.5926 ,,1.9448 ,0.5984 ,0.0442 ,2.5432 ,0.7480 ,0.0578 ,,0.2381 ,0.0884 ,0.3114 ,0.1156 
5F,5FEVホール,事務所等,ロビー,37.4,4,2.4,5F,5FEVホール,FCU8,FCU8,,0.086,0.103,15.5,6.5,0.052,0.016,0.068,0.02,44,22,,3.2164 ,3.8522 ,579.7000 ,0.5926 ,,1.9448 ,0.5984 ,0.0442 ,2.5432 ,0.7480 ,0.0578 ,,0.2381 ,0.0884 ,0.3114 ,0.1156 
6F,6FEVホール,事務所等,ロビー,37.4,4,2.4,6F,6FEVホール,FCU8,FCU8,,0.086,0.103,15.5,6.5,0.052,0.016,0.068,0.02,44,22,,3.2164 ,3.8522 ,579.7000 ,0.5926 ,,1.9448 ,0.5984 ,0.0442 ,2.5432 ,0.7480 ,0.0578 ,,0.2381 ,0.0884 ,0.3114 ,0.1156 
7F,7FEVホール,事務所等,ロビー,37.4,4,2.4,7F,7FEVホール,FCU8,FCU8,,0.086,0.103,15.5,6.5,0.052,0.016,0.068,0.02,44,22,,3.2164 ,3.8522 ,579.7000 ,0.5926 ,,1.9448 ,0.5984 ,0.0442 ,2.5432 ,0.7480 ,0.0578 ,,0.2381 ,0.0884 ,0.3114 ,0.1156 
8F,8FEVホール,事務所等,ロビー,37.4,4,2.4,8F,8FEVホール,FCU8,FCU8,,0.086,0.103,15.5,6.5,0.052,0.016,0.068,0.02,44,22,,3.2164 ,3.8522 ,579.7000 ,0.5926 ,,1.9448 ,0.5984 ,0.0442 ,2.5432 ,0.7480 ,0.0578 ,,0.2381 ,0.0884 ,0.3114 ,0.1156 
9F,9FEVホール,事務所等,ロビー,37.4,4,2.4,9F,9FEVホール,FCU8,FCU8,,0.086,0.103,15.5,6.5,0.052,0.016,0.068,0.02,44,22,,3.2164 ,3.8522 ,579.7000 ,0.5926 ,,1.9448 ,0.5984 ,0.0442 ,2.5432 ,0.7480 ,0.0578 ,,0.2381 ,0.0884 ,0.3114 ,0.1156 
9F,9F食堂,事務所等,社員食堂,520.4,4,2.6,9F,9F食堂,OCRS,OCRS,,0.226,0.19,40.7,6.5,0.137,0.042,0.125,0.037,44,22,,117.6104 ,98.8760 ,21180.2800 ,18.0939 ,,71.2948 ,21.8568 ,1.6203 ,65.0500 ,19.2548 ,1.4784 ,,8.7300 ,3.2407 ,7.9653 ,2.9568 
