様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
?,?,②,②,③,④,⑤,⑥,⑥,⑥,⑥,⑦
1F,1F事務室P-N,事務所等,事務室,48.1,4,2.6,■,,■,■,北側ペリメータ空調系統
1F,1F事務室P-S,事務所等,事務室,29.2,4,2.6,■,,■,■,南側ペリメータ空調系統
1F,警備員室,事務所等,事務室,17.8,4,2.6,■,,■,■,
1F,エントランスホール,事務所等,ロビー,201.6,8,6.4,■,,■,■,
1F,1FEVホール,事務所等,廊下,37.4,4,2.4,■,,,■,
1F,廊下,事務所等,廊下,88.6,4,2.4,,,,■,
1F,階段室Ｎ,事務所等,廊下,22.4,4,4,,,,■,
1F,乗降ロビー,事務所等,廊下,11.2,4,2.4,,,,■,
1F,DS1,事務所等,機械室,3.6,4,4,,,,■,乗降ロビー近傍西側DS
1F,DS2,事務所等,機械室,1.8,4,4,,,,■,乗降ロビー近傍東側DS
1F,機械室1,事務所等,機械室,22.4,4,4,,,,■,
1F,PS1,事務所等,機械室,3.4,4,4,,,,■,男子便所西側PS
1F,男子便所,事務所等,便所,16.2,4,2.4,,■,,■,
1F,EPS,事務所等,機械室,6.1,4,4,,,,■,
1F,アラーム弁室,事務所等,機械室,1.9,4,4,,,,■,
1F,PS2,事務所等,機械室,3.4,4,4,,,,■,女子便所西側PS
1F,女子便所,事務所等,便所,16.2,4,2.4,,■,,■,
1F,多目的便所,事務所等,便所,4,4,2.4,,■,,■,
1F,湯沸コーナー,事務所等,湯沸室等,7,4,2.4,,■,,■,
1F,倉庫,事務所等,湯沸室等,6.6,4,2.4,,■,,■,
1F,機械室2,事務所等,機械室,25.2,4,4,,,,■,
1F,階段室S,事務所等,廊下,22.4,4,4,,,,■,
1F,風除室,事務所等,廊下,15.4,4,3,,,,■,
2F,2F会議室I-N,事務所等,会議室,323.9,4,2.6,■,,■,■,北側インテリア空調系統
2F,2F会議室I-S,事務所等,会議室,213.7,4,2.6,■,,■,■,南側インテリア空調系統
2F,2F会議室P-N,事務所等,会議室,48.1,4,2.6,■,,■,■,北側ペリメータ空調系統
2F,2F会議室P-S,事務所等,会議室,37.3,4,2.6,■,,■,■,南側ペリメータ空調系統
2F,2FEVホール,事務所等,廊下,37.4,4,2.4,■,,,■,
2F,廊下,事務所等,廊下,88.6,4,2.4,,,,■,
2F,階段室Ｎ,事務所等,廊下,22.4,4,4,,,,■,
2F,乗降ロビー,事務所等,廊下,11.2,4,2.4,,,,■,
2F,DS1,事務所等,機械室,3.6,4,4,,,,■,乗降ロビー近傍西側DS
2F,DS2,事務所等,機械室,1.8,4,4,,,,■,乗降ロビー近傍東側DS
2F,機械室1,事務所等,機械室,22.4,4,3.8,,,,■,
2F,PS1,事務所等,機械室,3.4,4,4,,,,■,男子便所西側PS
2F,男子便所,事務所等,便所,16.2,4,2.4,,■,,■,
2F,EPS,事務所等,機械室,6.1,4,4,,,,■,
2F,アラーム弁室,事務所等,機械室,1.9,4,4,,,,■,
2F,PS2,事務所等,機械室,3.4,4,4,,,,■,女子便所西側PS
2F,女子便所,事務所等,便所,16.2,4,2.4,,■,,■,
2F,多目的便所,事務所等,便所,4,4,2.4,,■,,■,
2F,湯沸コーナー,事務所等,湯沸室等,7,4,2.4,,■,,■,
2F,倉庫,事務所等,湯沸室等,6.6,4,2.4,,■,,■,
2F,機械室2,事務所等,機械室,25.2,4,4,,,,■,
2F,階段室S,事務所等,廊下,22.4,4,4,,,,■,
3F,3F事務室I-N,事務所等,事務室,323.9,4,2.6,■,,■,■,北側インテリア空調系統
3F,3F事務室I-S,事務所等,事務室,213.7,4,2.6,■,,■,■,南側インテリア空調系統
3F,3F事務室P-N,事務所等,事務室,48.1,4,2.6,■,,■,■,北側ペリメータ空調系統
3F,3F事務室P-S,事務所等,事務室,37.3,4,2.6,■,,■,■,南側ペリメータ空調系統
3F,3FEVホール,事務所等,廊下,37.4,4,2.4,■,,,■,
3F,廊下,事務所等,廊下,88.6,4,2.4,,,,■,
3F,階段室Ｎ,事務所等,廊下,22.4,4,4,,,,■,
3F,乗降ロビー,事務所等,廊下,11.2,4,2.4,,,,■,
3F,DS1,事務所等,機械室,3.6,4,4,,,,■,乗降ロビー近傍西側DS
3F,DS2,事務所等,機械室,1.8,4,4,,,,■,乗降ロビー近傍東側DS
3F,機械室1,事務所等,機械室,22.4,4,4,,,,■,
3F,PS1,事務所等,機械室,3.4,4,4,,,,■,男子便所西側PS
3F,男子便所,事務所等,便所,16.2,4,2.4,,■,,■,
3F,EPS,事務所等,機械室,6.1,4,4,,,,■,
3F,アラーム弁室,事務所等,機械室,1.9,4,4,,,,■,
3F,PS2,事務所等,機械室,3.4,4,4,,,,■,女子便所西側PS
3F,女子便所,事務所等,便所,16.2,4,2.4,,■,,■,
3F,多目的便所,事務所等,便所,4,4,2.4,,■,,■,
3F,湯沸コーナー,事務所等,湯沸室等,7,4,2.4,,■,,■,
3F,倉庫,事務所等,湯沸室等,6.6,4,2.4,,■,,■,
3F,機械室2,事務所等,機械室,25.2,4,4,,,,■,
3F,階段室S,事務所等,廊下,22.4,4,4,,,,■,
4F,4F事務室I-N,事務所等,事務室,323.9,4,2.6,■,,■,■,北側インテリア空調系統
4F,4F事務室I-S,事務所等,事務室,213.7,4,2.6,■,,■,■,南側インテリア空調系統
4F,4F事務室P-N,事務所等,事務室,48.1,4,2.6,■,,■,■,北側ペリメータ空調系統
4F,4F事務室P-S,事務所等,事務室,37.3,4,2.6,■,,■,■,南側ペリメータ空調系統
4F,4FEVホール,事務所等,廊下,37.4,4,2.4,■,,,■,
4F,廊下,事務所等,廊下,88.6,4,2.4,,,,■,
4F,階段室Ｎ,事務所等,廊下,22.4,4,4,,,,■,
4F,乗降ロビー,事務所等,廊下,11.2,4,2.4,,,,■,
4F,DS1,事務所等,機械室,3.6,4,4,,,,■,乗降ロビー近傍西側DS
4F,DS2,事務所等,機械室,1.8,4,4,,,,■,乗降ロビー近傍東側DS
4F,機械室1,事務所等,機械室,22.4,4,4,,,,■,
4F,PS1,事務所等,機械室,3.4,4,4,,,,■,男子便所西側PS
4F,男子便所,事務所等,便所,16.2,4,2.4,,■,,■,
4F,EPS,事務所等,機械室,6.1,4,4,,,,■,
4F,アラーム弁室,事務所等,機械室,1.9,4,4,,,,■,
4F,PS2,事務所等,機械室,3.4,4,4,,,,■,女子便所西側PS
4F,女子便所,事務所等,便所,16.2,4,2.4,,■,,■,
4F,多目的便所,事務所等,便所,4,4,2.4,,■,,■,
4F,湯沸コーナー,事務所等,湯沸室等,7,4,2.4,,■,,■,
4F,倉庫,事務所等,湯沸室等,6.6,4,2.4,,■,,■,
4F,機械室2,事務所等,機械室,25.2,4,4,,,,■,
4F,階段室S,事務所等,廊下,22.4,4,4,,,,■,
5F,5F事務室I-N,事務所等,事務室,323.9,4,2.6,■,,■,■,北側インテリア空調系統
5F,5F事務室I-S,事務所等,事務室,213.7,4,2.6,■,,■,■,南側インテリア空調系統
5F,5F事務室P-N,事務所等,事務室,48.1,4,2.6,■,,■,■,北側ペリメータ空調系統
5F,5F事務室P-S,事務所等,事務室,37.3,4,2.6,■,,■,■,南側ペリメータ空調系統
5F,5FEVホール,事務所等,廊下,37.4,4,2.4,■,,,■,
5F,廊下,事務所等,廊下,88.6,4,2.4,,,,■,
5F,階段室N,事務所等,廊下,22.4,4,4,,,,■,
5F,乗降ロビー,事務所等,廊下,11.2,4,2.4,,,,■,
5F,DS1,事務所等,機械室,3.6,4,4,,,,■,乗降ロビー近傍西側DS
5F,DS2,事務所等,機械室,1.8,4,4,,,,■,乗降ロビー近傍東側DS
5F,機械室1,事務所等,機械室,22.4,4,4,,,,■,
5F,PS1,事務所等,機械室,3.4,4,4,,,,■,男子便所西側PS
5F,男子便所,事務所等,便所,16.2,4,2.4,,■,,■,
5F,EPS,事務所等,機械室,6.1,4,4,,,,■,
5F,アラーム弁室,事務所等,機械室,1.9,4,4,,,,■,
5F,PS2,事務所等,機械室,3.4,4,4,,,,■,女子便所西側PS
5F,女子便所,事務所等,便所,16.2,4,2.4,,■,,■,
5F,多目的便所,事務所等,便所,4,4,2.4,,■,,■,
5F,湯沸コーナー,事務所等,湯沸室等,7,4,2.4,,■,,■,
5F,倉庫,事務所等,湯沸室等,6.6,4,2.4,,■,,■,
5F,機械室2,事務所等,機械室,25.2,4,4,,,,■,
5F,階段室S,事務所等,廊下,22.4,4,4,,,,■,
6F,6F事務室I-N,事務所等,事務室,323.9,4,2.6,■,,■,■,北側インテリア空調系統
6F,6F事務室I-S,事務所等,事務室,213.7,4,2.6,■,,■,■,南側インテリア空調系統
6F,6F事務室P-N,事務所等,事務室,48.1,4,2.6,■,,■,■,北側ペリメータ空調系統
6F,6F事務室P-S,事務所等,事務室,37.3,4,2.6,■,,■,■,南側ペリメータ空調系統
6F,6FEVホール,事務所等,廊下,37.4,4,2.4,■,,,■,
6F,廊下,事務所等,廊下,88.6,4,2.4,,,,■,
6F,階段室Ｎ,事務所等,廊下,22.4,4,4,,,,■,
6F,乗降ロビー,事務所等,廊下,11.2,4,2.4,,,,■,
6F,DS1,事務所等,機械室,3.6,4,4,,,,■,乗降ロビー近傍西側DS
6F,DS2,事務所等,機械室,1.8,4,4,,,,■,乗降ロビー近傍東側DS
6F,機械室1,事務所等,機械室,22.4,4,4,,,,■,
6F,PS1,事務所等,機械室,3.4,4,4,,,,■,男子便所西側PS
6F,男子便所,事務所等,便所,16.2,4,2.4,,■,,■,
6F,EPS,事務所等,機械室,6.1,4,4,,,,■,
6F,アラーム弁室,事務所等,機械室,1.9,4,4,,,,■,
6F,PS2,事務所等,機械室,3.4,4,4,,,,■,女子便所西側PS
6F,女子便所,事務所等,便所,16.2,4,2.4,,■,,■,
6F,多目的便所,事務所等,便所,4,4,2.4,,■,,■,
6F,湯沸コーナー,事務所等,湯沸室等,7,4,2.4,,■,,■,
6F,倉庫,事務所等,湯沸室等,6.6,4,2.4,,■,,■,
6F,機械室2,事務所等,機械室,25.2,4,4,,,,■,
6F,階段室S,事務所等,廊下,22.4,4,4,,,,■,
7F,7F事務室I-N,事務所等,事務室,323.9,4,2.6,■,,■,■,北側インテリア空調系統
7F,7F事務室I-S,事務所等,事務室,213.7,4,2.6,■,,■,■,南側インテリア空調系統
7F,7F事務室P-N,事務所等,事務室,48.1,4,2.6,■,,■,■,北側ペリメータ空調系統
7F,7F事務室P-S,事務所等,事務室,37.3,4,2.6,■,,■,■,南側ペリメータ空調系統
7F,7FEVホール,事務所等,廊下,37.4,4,2.4,■,,,■,
7F,廊下,事務所等,廊下,88.6,4,2.4,,,,■,
7F,階段室Ｎ,事務所等,廊下,22.4,4,4,,,,■,
7F,乗降ロビー,事務所等,廊下,11.2,4,2.4,,,,■,
7F,DS1,事務所等,機械室,3.6,4,4,,,,■,乗降ロビー近傍西側DS
7F,DS2,事務所等,機械室,1.8,4,4,,,,■,乗降ロビー近傍東側DS
7F,機械室1,事務所等,機械室,22.4,4,3.8,,,,■,
7F,PS1,事務所等,機械室,3.4,4,4,,,,■,男子便所西側PS
7F,男子便所,事務所等,便所,16.2,4,2.4,,■,,■,
7F,EPS,事務所等,機械室,6.1,4,4,,,,■,
7F,アラーム弁室,事務所等,機械室,1.9,4,4,,,,■,
7F,PS2,事務所等,機械室,3.4,4,4,,,,■,女子便所西側PS
7F,女子便所,事務所等,便所,16.2,4,2.4,,■,,■,
7F,多目的便所,事務所等,便所,4,4,2.4,,■,,■,
7F,湯沸コーナー,事務所等,湯沸室等,7,4,2.4,,■,,■,
7F,倉庫,事務所等,湯沸室等,6.6,4,2.4,,■,,■,
7F,機械室2,事務所等,機械室,25.2,4,4,,,,■,
7F,階段室S,事務所等,廊下,22.4,4,4,,,,■,
8F,8F事務室I-N,事務所等,事務室,323.9,4,2.6,■,,■,■,北側インテリア空調系統
8F,8F事務室I-S,事務所等,事務室,213.7,4,2.6,■,,■,■,南側インテリア空調系統
8F,8F事務室P-N,事務所等,事務室,48.1,4,2.6,■,,■,■,北側ペリメータ空調系統
8F,8F事務室P-S,事務所等,事務室,37.3,4,2.6,■,,■,■,南側ペリメータ空調系統
8F,8FEVホール,事務所等,廊下,37.4,4,2.4,■,,,■,
8F,廊下,事務所等,廊下,88.6,4,2.4,,,,■,
8F,階段室Ｎ,事務所等,廊下,22.4,4,4,,,,■,
8F,乗降ロビー,事務所等,廊下,11.2,4,2.4,,,,■,
8F,DS1,事務所等,機械室,3.6,4,4,,,,■,乗降ロビー近傍西側DS
8F,DS2,事務所等,機械室,1.8,4,4,,,,■,乗降ロビー近傍東側DS
8F,機械室1,事務所等,機械室,22.4,4,4,,,,■,
8F,PS1,事務所等,機械室,3.4,4,4,,,,■,男子便所西側PS
8F,男子便所,事務所等,便所,16.2,4,2.4,,■,,■,
8F,EPS,事務所等,機械室,6.1,4,4,,,,■,
8F,アラーム弁室,事務所等,機械室,1.9,4,4,,,,■,
8F,PS2,事務所等,機械室,3.4,4,4,,,,■,女子便所西側PS
8F,女子便所,事務所等,便所,16.2,4,2.4,,■,,■,
8F,多目的便所,事務所等,便所,4,4,2.4,,■,,■,
8F,湯沸コーナー,事務所等,湯沸室等,7,4,2.4,,■,,■,
8F,倉庫,事務所等,湯沸室等,6.6,4,2.4,,■,,■,
8F,機械室2,事務所等,機械室,25.2,4,4,,,,■,
8F,階段室S,事務所等,廊下,22.4,4,4,,,,■,
9F,9F食堂,事務所等,社員食堂,520.4,4,2.6,■,,■,■,
9F,厨房,事務所等,厨房,102.6,4,2.6,,■,,■,
9F,9FEVホール,事務所等,廊下,37.4,4,2.4,■,,,■,
9F,廊下,事務所等,廊下,88.6,4,2.4,,,,■,
9F,階段室Ｎ,事務所等,廊下,22.4,4,4,,,,■,
9F,乗降ロビー,事務所等,廊下,11.2,4,2.4,,,,■,
9F,DS1,事務所等,機械室,3.6,4,4,,,,■,乗降ロビー近傍西側DS
9F,DS2,事務所等,機械室,1.8,4,4,,,,■,乗降ロビー近傍東側DS
9F,機械室1,事務所等,機械室,22.4,4,4,,,,■,
9F,PS1,事務所等,機械室,3.4,4,4,,,,■,男子便所西側PS
9F,男子便所,事務所等,便所,16.2,4,2.4,,■,,■,
9F,EPS,事務所等,機械室,6.1,4,4,,,,■,
9F,アラーム弁室,事務所等,機械室,1.9,4,4,,,,■,
9F,PS2,事務所等,機械室,3.4,4,4,,,,■,女子便所西側PS
9F,女子便所,事務所等,便所,16.2,4,2.4,,■,,■,
9F,多目的便所,事務所等,便所,4,4,2.4,,■,,■,
9F,湯沸コーナー,事務所等,湯沸室等,7,4,2.4,,■,,■,
9F,倉庫,事務所等,湯沸室等,6.6,4,2.4,,■,,■,
9F,機械室2,事務所等,機械室,25.2,4,4,,,,■,
9F,階段室S,事務所等,廊下,22.4,4,4,,,,■,
PHF,EV機械室,事務所等,電気室,48,4,4,,■,,■,
PHF,非常用EV機械室,事務所等,電気室,28.8,4,4,,■,,■,
