様式 3. (照明)照明入力シート,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
階,室名,建物用途,室用途,天井高,室の間口,室の奥行,室面積,室指数,計画照明器具仕様,,,,制御による補正,,,,,
1F,ｱﾗｰﾑ弁室,事務所等,電気・機械室（標準）,4.00 ,1.90 ,1.00 ,1.90 ,,直付富士型,,22,1,,,,,,
1F,1FEVﾎｰﾙ,事務所等,ロビー,2.40 ,11.00 ,3.20 ,37.40 ,,ﾀﾞｳﾝﾗｲﾄ,,48,12,,,,,,
1F,ＰＳ2,事務所等,電気・機械室（標準）,4.00 ,1.20 ,2.80 ,3.40 ,,直付富士型,,22,1,,,,,,
1F,女子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,ﾀﾞｳﾝﾗｲﾄ,,48,6,,,,,,
1F,女子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
1F,多目的便所,事務所等,トイレ,2.40 ,2.00 ,2.00 ,4.00 ,,ﾀﾞｳﾝﾗｲﾄ,,48,2,,,,,,
1F,多目的便所,事務所等,トイレ,2.40 ,2.00 ,2.00 ,4.00 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
1F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,2.40 ,2.20 ,3.20 ,7.00 ,,埋込下面開放,,48,1,,,,,,
1F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,2.40 ,2.20 ,3.20 ,7.00 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
1F,倉庫2,事務所等,更衣室等,2.40 ,,,6.60 ,0.3 ,直付富士型,,95,1,,,,,,
1F,機械室2,事務所等,電気・機械室（標準）,4.00 ,3.60 ,7.00 ,25.20 ,,直付富士型,,48,2,,,,,,
1F,階段室S,事務所等,階段,4.00 ,3.20 ,7.00 ,22.40 ,,階段通路誘導灯,,48,2,,,,,,
1F,ｴﾝﾄﾗﾝｽﾎｰﾙ,事務所等,ロビー,6.40 ,9.00 ,22.40 ,201.60 ,,ﾀﾞｳﾝﾗｲﾄ,,95,60,,,,,,
1F,風除室,事務所等,廊下,3.00 ,4.40 ,3.50 ,15.40 ,,ﾀﾞｳﾝﾗｲﾄ,,48,6,,,,,,
2F,2F会議室,事務所等,会議室,2.60 ,37.00 ,17.00 ,623.00 ,,埋込下面ルーバー,,94,160,,,,,,
2F,廊下,事務所等,廊下,2.40 ,,,88.60 ,0.7 ,ﾀﾞｳﾝﾗｲﾄ,,48,25,,,,,,
2F,階段室Ｎ,事務所等,階段,4.00 ,3.20 ,7.00 ,22.40 ,,階段通路誘導灯,,48,2,,,,,,
2F,乗降ﾛﾋﾞｰ,事務所等,ロビー,2.40 ,2.60 ,4.30 ,11.20 ,,階段通路誘導灯,,48,1,,,,,,
2F,ＤＳ,事務所等,電気・機械室（標準）,4.00 ,1.00 ,7.00 ,7.00 ,,直付富士型,,22,2,,,,,,
2F,機械室1,事務所等,電気・機械室（標準）,3.80 ,3.20 ,7.00 ,22.40 ,,直付富士型,,48,2,,,,,,
2F,ＰＳ1,事務所等,電気・機械室（標準）,4.00 ,1.20 ,2.80 ,3.40 ,,直付富士型,,22,1,,,,,,
2F,男子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,ﾀﾞｳﾝﾗｲﾄ,,48,6,,,,,,
2F,男子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
2F,EPS,事務所等,電気・機械室（標準）,4.00 ,6.10 ,1.00 ,6.10 ,,直付富士型,,22,2,,,,,,
2F,ｱﾗｰﾑ弁室,事務所等,電気・機械室（標準）,4.00 ,1.90 ,1.00 ,1.90 ,,直付富士型,,22,1,,,,,,
2F,2FEVﾎｰﾙ,事務所等,ロビー,2.40 ,11.00 ,3.40 ,37.40 ,,ﾀﾞｳﾝﾗｲﾄ,,48,12,,,,,,
2F,ＰＳ2,事務所等,電気・機械室（標準）,4.00 ,1.20 ,2.80 ,3.40 ,,直付富士型,,22,1,,,,,,
2F,女子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,ﾀﾞｳﾝﾗｲﾄ,,48,6,,,,,,
2F,女子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
2F,多目的便所,事務所等,トイレ,2.40 ,2.00 ,2.00 ,4.00 ,,ﾀﾞｳﾝﾗｲﾄ,,48,2,,,,,,
2F,多目的便所,事務所等,トイレ,2.40 ,2.00 ,2.00 ,4.00 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
2F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,2.40 ,2.20 ,3.20 ,7.00 ,,直付富士型,,48,1,,,,,,
2F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,2.40 ,2.20 ,3.20 ,7.00 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
2F,倉庫2,事務所等,更衣室等,2.40 ,,,6.60 ,0.3 ,直付富士型,,95,1,,,,,,
2F,機械室2,事務所等,電気・機械室（標準）,4.00 ,3.60 ,7.00 ,25.20 ,,直付富士型,,48,2,,,,,,
2F,階段室S,事務所等,階段,4.00 ,3.20 ,7.00 ,22.40 ,,階段通路誘導灯,,48,2,,,,,,
3F,3F事務室,事務所等,事務室,2.60 ,37.00 ,17.00 ,623.00 ,,埋込下面ルーバー,,94,160,,,センサー,,両側採光、ブラインド自動制御なし,
3F,3F事務室,事務所等,事務室,2.60 ,37.00 ,17.00 ,623.00 ,,埋込下面ルーバー,,47,40,,,センサー,,両側採光、ブラインド自動制御なし,
3F,廊下,事務所等,廊下,2.40 ,,,88.60 ,0.7 ,ﾀﾞｳﾝﾗｲﾄ,,48,25,,,,,,
3F,階段室Ｎ,事務所等,階段,4.00 ,3.20 ,7.00 ,22.40 ,,階段通路誘導灯,,48,2,,,,,,
3F,乗降ﾛﾋﾞｰ,事務所等,ロビー,2.40 ,2.60 ,4.30 ,11.20 ,,階段通路誘導灯,,48,1,,,,,,
3F,ＤＳ,事務所等,電気・機械室（標準）,4.00 ,1.00 ,7.00 ,7.00 ,,直付富士型,,22,2,,,,,,
3F,機械室1,事務所等,電気・機械室（標準）,4.00 ,3.20 ,7.00 ,22.40 ,,直付富士型,,48,2,,,,,,
3F,ＰＳ1,事務所等,電気・機械室（標準）,4.00 ,1.20 ,2.80 ,3.40 ,,直付富士型,,22,1,,,,,,
3F,男子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,ﾀﾞｳﾝﾗｲﾄ,,48,6,,,,,,
3F,男子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
3F,EPS,事務所等,電気・機械室（標準）,4.00 ,6.10 ,1.00 ,6.10 ,,直付富士型,,22,2,,,,,,
3F,ｱﾗｰﾑ弁室,事務所等,電気・機械室（標準）,4.00 ,1.90 ,1.00 ,1.90 ,,直付富士型,,22,1,,,,,,
3F,3FEVﾎｰﾙ,事務所等,ロビー,2.40 ,11.00 ,3.40 ,37.40 ,,ﾀﾞｳﾝﾗｲﾄ,,48,12,,,,,,
3F,ＰＳ2,事務所等,電気・機械室（標準）,4.00 ,1.20 ,2.80 ,3.40 ,,直付富士型,,22,1,,,,,,
3F,女子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,ﾀﾞｳﾝﾗｲﾄ,,48,6,,,,,,
3F,女子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
3F,多目的便所,事務所等,トイレ,2.40 ,2.00 ,2.00 ,4.00 ,,ﾀﾞｳﾝﾗｲﾄ,,48,2,,,,,,
3F,多目的便所,事務所等,トイレ,2.40 ,2.00 ,2.00 ,4.00 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
3F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,2.40 ,2.20 ,3.20 ,7.00 ,,直付富士型,,48,1,,,,,,
3F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,2.40 ,2.20 ,3.20 ,7.00 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
3F,倉庫2,事務所等,更衣室等,2.40 ,,,6.60 ,0.3 ,直付富士型,,95,1,,,,,,
3F,機械室2,事務所等,電気・機械室（標準）,4.00 ,3.60 ,7.00 ,25.20 ,,直付富士型,,48,2,,,,,,
3F,階段室S,事務所等,階段,4.00 ,3.20 ,7.00 ,22.40 ,,階段通路誘導灯,,48,2,,,,,,
4F,4F事務室,事務所等,事務室,2.60 ,37.00 ,17.00 ,623.00 ,,埋込下面ルーバー,,94,160,,,センサー,,両側採光、ブラインド自動制御なし,
4F,4F事務室,事務所等,事務室,2.60 ,37.00 ,17.00 ,623.00 ,,埋込下面ルーバー,,47,40,,,センサー,,両側採光、ブラインド自動制御なし,
4F,廊下,事務所等,廊下,2.40 ,,,88.60 ,0.7 ,ﾀﾞｳﾝﾗｲﾄ,,48,25,,,,,,
4F,階段室Ｎ,事務所等,階段,4.00 ,3.20 ,7.00 ,22.40 ,,階段通路誘導灯,,48,2,,,,,,
4F,乗降ﾛﾋﾞｰ,事務所等,ロビー,2.40 ,2.60 ,4.30 ,11.20 ,,階段通路誘導灯,,48,1,,,,,,
4F,ＤＳ,事務所等,電気・機械室（標準）,4.00 ,1.00 ,7.00 ,7.00 ,,直付富士型,,22,2,,,,,,
4F,機械室1,事務所等,電気・機械室（標準）,4.00 ,3.20 ,7.00 ,22.40 ,,直付富士型,,48,2,,,,,,
4F,ＰＳ1,事務所等,電気・機械室（標準）,4.00 ,1.20 ,2.80 ,3.40 ,,直付富士型,,22,1,,,,,,
4F,男子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,ﾀﾞｳﾝﾗｲﾄ,,48,6,,,,,,
4F,男子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
4F,EPS,事務所等,電気・機械室（標準）,4.00 ,6.10 ,1.00 ,6.10 ,,直付富士型,,22,2,,,,,,
4F,ｱﾗｰﾑ弁室,事務所等,電気・機械室（標準）,4.00 ,1.90 ,1.00 ,1.90 ,,直付富士型,,22,1,,,,,,
4F,4FEVﾎｰﾙ,事務所等,ロビー,2.40 ,11.00 ,3.40 ,37.40 ,,ﾀﾞｳﾝﾗｲﾄ,,48,12,,,,,,
4F,ＰＳ2,事務所等,電気・機械室（標準）,4.00 ,1.20 ,2.80 ,3.40 ,,直付富士型,,22,1,,,,,,
4F,女子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,ﾀﾞｳﾝﾗｲﾄ,,48,6,,,,,,
4F,女子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
4F,多目的便所,事務所等,トイレ,2.40 ,2.00 ,2.00 ,4.00 ,,ﾀﾞｳﾝﾗｲﾄ,,48,2,,,,,,
4F,多目的便所,事務所等,トイレ,2.40 ,2.00 ,2.00 ,4.00 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
4F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,2.40 ,2.20 ,3.20 ,7.00 ,,直付富士型,,48,1,,,,,,
4F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,2.40 ,2.20 ,3.20 ,7.00 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
4F,倉庫2,事務所等,更衣室等,2.40 ,,,6.60 ,0.3 ,直付富士型,,95,1,,,,,,
4F,機械室2,事務所等,電気・機械室（標準）,4.00 ,3.60 ,7.00 ,25.20 ,,直付富士型,,48,2,,,,,,
4F,階段室S,事務所等,階段,4.00 ,3.20 ,7.00 ,22.40 ,,階段通路誘導灯,,48,2,,,,,,
5F,5F事務室,事務所等,事務室,2.60 ,37.00 ,17.00 ,623.00 ,,埋込下面ルーバー,,94,160,,,センサー,,両側採光、ブラインド自動制御なし,
5F,5F事務室,事務所等,事務室,2.60 ,37.00 ,17.00 ,623.00 ,,埋込下面ルーバー,,47,40,,,センサー,,両側採光、ブラインド自動制御なし,
5F,廊下,事務所等,廊下,2.40 ,,,88.60 ,0.7 ,ﾀﾞｳﾝﾗｲﾄ,,48,25,,,,,,
5F,階段室Ｎ,事務所等,階段,4.00 ,3.20 ,7.00 ,22.40 ,,階段通路誘導灯,,48,2,,,,,,
5F,乗降ﾛﾋﾞｰ,事務所等,ロビー,2.40 ,2.60 ,4.30 ,11.20 ,,階段通路誘導灯,,48,1,,,,,,
5F,ＤＳ,事務所等,電気・機械室（標準）,4.00 ,1.00 ,7.00 ,7.00 ,,直付富士型,,22,2,,,,,,
5F,機械室1,事務所等,電気・機械室（標準）,4.00 ,3.20 ,7.00 ,22.40 ,,直付富士型,,48,2,,,,,,
5F,ＰＳ1,事務所等,電気・機械室（標準）,4.00 ,1.20 ,2.80 ,3.40 ,,直付富士型,,22,1,,,,,,
5F,男子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,ﾀﾞｳﾝﾗｲﾄ,,48,6,,,,,,
5F,男子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
5F,EPS,事務所等,電気・機械室（標準）,4.00 ,6.10 ,1.00 ,6.10 ,,直付富士型,,22,2,,,,,,
5F,ｱﾗｰﾑ弁室,事務所等,電気・機械室（標準）,4.00 ,1.90 ,1.00 ,1.90 ,,直付富士型,,22,1,,,,,,
5F,5FEVﾎｰﾙ,事務所等,ロビー,2.40 ,11.00 ,3.40 ,37.40 ,,ﾀﾞｳﾝﾗｲﾄ,,48,12,,,,,,
5F,ＰＳ2,事務所等,電気・機械室（標準）,4.00 ,1.20 ,2.80 ,3.40 ,,直付富士型,,22,1,,,,,,
5F,女子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,ﾀﾞｳﾝﾗｲﾄ,,48,6,,,,,,
5F,女子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
5F,多目的便所,事務所等,トイレ,2.40 ,2.00 ,2.00 ,4.00 ,,ﾀﾞｳﾝﾗｲﾄ,,48,2,,,,,,
5F,多目的便所,事務所等,トイレ,2.40 ,2.00 ,2.00 ,4.00 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
5F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,2.40 ,2.20 ,3.20 ,7.00 ,,直付富士型,,48,1,,,,,,
5F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,2.40 ,2.20 ,3.20 ,7.00 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
5F,倉庫2,事務所等,更衣室等,2.40 ,,,6.60 ,0.3 ,直付富士型,,95,1,,,,,,
5F,機械室2,事務所等,電気・機械室（標準）,4.00 ,3.60 ,7.00 ,25.20 ,,直付富士型,,48,2,,,,,,
5F,階段室S,事務所等,階段,4.00 ,3.20 ,7.00 ,22.40 ,,階段通路誘導灯,,48,2,,,,,,
6F,6F事務室,事務所等,事務室,2.60 ,37.00 ,17.00 ,623.00 ,,埋込下面ルーバー,,94,160,,,センサー,,両側採光、ブラインド自動制御なし,
6F,6F事務室,事務所等,事務室,2.60 ,37.00 ,17.00 ,623.00 ,,埋込下面ルーバー,,47,40,,,センサー,,両側採光、ブラインド自動制御なし,
6F,廊下,事務所等,廊下,2.40 ,,,88.60 ,0.7 ,ﾀﾞｳﾝﾗｲﾄ,,48,25,,,,,,
6F,階段室Ｎ,事務所等,階段,4.00 ,3.20 ,7.00 ,22.40 ,,階段通路誘導灯,,48,2,,,,,,
6F,乗降ﾛﾋﾞｰ,事務所等,ロビー,2.40 ,2.60 ,4.30 ,11.20 ,,階段通路誘導灯,,48,1,,,,,,
6F,ＤＳ,事務所等,電気・機械室（標準）,4.00 ,1.00 ,7.00 ,7.00 ,,直付富士型,,22,2,,,,,,
6F,機械室1,事務所等,電気・機械室（標準）,4.00 ,3.20 ,7.00 ,22.40 ,,直付富士型,,48,2,,,,,,
6F,ＰＳ1,事務所等,電気・機械室（標準）,4.00 ,1.20 ,2.80 ,3.40 ,,直付富士型,,22,1,,,,,,
6F,男子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,ﾀﾞｳﾝﾗｲﾄ,,48,6,,,,,,
6F,男子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
6F,EPS,事務所等,電気・機械室（標準）,4.00 ,6.10 ,1.00 ,6.10 ,,直付富士型,,22,2,,,,,,
6F,ｱﾗｰﾑ弁室,事務所等,電気・機械室（標準）,4.00 ,1.90 ,1.00 ,1.90 ,,直付富士型,,22,1,,,,,,
6F,ＰＳ2,事務所等,電気・機械室（標準）,4.00 ,1.20 ,2.80 ,3.40 ,,直付富士型,,22,1,,,,,,
6F,6FEVﾎｰﾙ,事務所等,ロビー,2.40 ,11.00 ,3.40 ,37.40 ,,ﾀﾞｳﾝﾗｲﾄ,,48,12,,,,,,
6F,女子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,ﾀﾞｳﾝﾗｲﾄ,,48,6,,,,,,
6F,女子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
6F,多目的便所,事務所等,トイレ,2.40 ,2.00 ,2.00 ,4.00 ,,ﾀﾞｳﾝﾗｲﾄ,,48,2,,,,,,
6F,多目的便所,事務所等,トイレ,2.40 ,2.00 ,2.00 ,4.00 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
6F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,2.40 ,2.20 ,3.20 ,7.00 ,,直付富士型,,48,1,,,,,,
6F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,2.40 ,2.20 ,3.20 ,7.00 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
6F,倉庫2,事務所等,更衣室等,2.40 ,,,6.60 ,0.3 ,直付富士型,,95,1,,,,,,
6F,機械室2,事務所等,電気・機械室（標準）,4.00 ,3.60 ,7.00 ,25.20 ,,直付富士型,,48,2,,,,,,
6F,階段室S,事務所等,階段,4.00 ,3.20 ,7.00 ,22.40 ,,階段通路誘導灯,,48,2,,,,,,
7F,7F事務室,事務所等,事務室,2.60 ,37.00 ,17.00 ,623.00 ,,埋込下面ルーバー,,94,160,,,センサー,,両側採光、ブラインド自動制御なし,
7F,7F事務室,事務所等,事務室,2.60 ,37.00 ,17.00 ,623.00 ,,埋込下面ルーバー,,47,40,,,センサー,,両側採光、ブラインド自動制御なし,
7F,廊下,事務所等,廊下,2.40 ,,,88.60 ,0.7 ,ﾀﾞｳﾝﾗｲﾄ,,48,25,,,,,,
7F,階段室Ｎ,事務所等,階段,4.00 ,3.20 ,7.00 ,22.40 ,,階段通路誘導灯,,48,2,,,,,,
7F,乗降ﾛﾋﾞｰ,事務所等,ロビー,2.40 ,2.60 ,4.30 ,11.20 ,,階段通路誘導灯,,48,1,,,,,,
7F,ＤＳ,事務所等,電気・機械室（標準）,4.00 ,1.00 ,7.00 ,7.00 ,,直付富士型,,22,2,,,,,,
7F,機械室1,事務所等,電気・機械室（標準）,3.80 ,3.20 ,7.00 ,22.40 ,,直付富士型,,48,2,,,,,,
7F,ＰＳ1,事務所等,電気・機械室（標準）,4.00 ,1.20 ,2.80 ,3.40 ,,直付富士型,,22,1,,,,,,
7F,男子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,ﾀﾞｳﾝﾗｲﾄ,,48,6,,,,,,
7F,男子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
7F,EPS,事務所等,電気・機械室（標準）,4.00 ,6.10 ,1.00 ,6.10 ,,直付富士型,,22,2,,,,,,
7F,ｱﾗｰﾑ弁室,事務所等,電気・機械室（標準）,4.00 ,1.90 ,1.00 ,1.90 ,,直付富士型,,22,1,,,,,,
7F,ＰＳ2,事務所等,電気・機械室（標準）,4.00 ,1.20 ,2.80 ,3.40 ,,直付富士型,,22,1,,,,,,
7F,7FEVﾎｰﾙ,事務所等,ロビー,2.40 ,11.00 ,3.40 ,37.40 ,,ﾀﾞｳﾝﾗｲﾄ,,48,12,,,,,,
7F,女子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,ﾀﾞｳﾝﾗｲﾄ,,48,6,,,,,,
7F,女子便所,事務所等,トイレ,2.40 ,2.80 ,5.80 ,16.20 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
7F,多目的便所,事務所等,トイレ,2.40 ,2.00 ,2.00 ,4.00 ,,ﾀﾞｳﾝﾗｲﾄ,,48,2,,,,,,
7F,多目的便所,事務所等,トイレ,2.40 ,2.00 ,2.00 ,4.00 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
7F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,2.40 ,2.20 ,3.20 ,7.00 ,,直付富士型,,48,1,,,,,,
