様式 3. (照明)照明入力シート,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
階,室名,建物用途,室用途,天井高,室の間口,室の奥行,室面積,室指数,計画照明器具仕様,,,,制御による補正,,,,,
6F,事務室,事務所等,事務室,2.60 ,0.00 ,0.00 ,96.80 ,2.6 ,埋込下面ルーバー,,95,26,,,センサー,,,
7F,ホール,事務所等,ロビー,2.60 ,2.80 ,2.05 ,5.74 ,,埋込下面ｱｸﾘﾙ,,95,2,,,,,,
7F,流し,事務所等,湯沸室等,2.60 ,1.60 ,2.80 ,4.48 ,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,,
7F,流し,事務所等,湯沸室等,2.60 ,1.60 ,2.80 ,4.48 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
7F,トイレ(男）,事務所等,トイレ,2.60 ,1.25 ,2.80 ,3.50 ,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,,
7F,トイレ(女）,事務所等,トイレ,2.60 ,1.65 ,2.80 ,4.62 ,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,,
7F,事務室,事務所等,事務室,2.60 ,0.00 ,0.00 ,96.80 ,2.6 ,埋込下面ルーバー,,95,26,,,センサー,,,
8F,ホール,事務所等,ロビー,2.60 ,2.80 ,2.05 ,5.74 ,,埋込下面ｱｸﾘﾙ,,95,2,,,,,,
8F,流し,事務所等,湯沸室等,2.60 ,1.60 ,2.80 ,4.48 ,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,,
8F,流し,事務所等,湯沸室等,2.60 ,1.60 ,2.80 ,4.48 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
8F,トイレ(男）,事務所等,トイレ,2.60 ,1.25 ,2.80 ,3.50 ,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,,
8F,トイレ(女）,事務所等,トイレ,2.60 ,1.65 ,2.80 ,4.62 ,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,,
8F,事務室,事務所等,事務室,2.60 ,0.00 ,0.00 ,96.80 ,2.6 ,埋込下面ルーバー,,95,26,,,センサー,,,
