様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
階,室名,建物用途,室用途,階高,天井高,照明計算用室の間口,照明計算用室の奥行,室面積,空調計算対象室,換気計算対象室,照明計算対象室,給湯計算対象室,備考欄
5F,ホール,事務所等,ロビー,3.60 ,2.60 ,2.80 ,2.05 ,5.74 ,,,,,
5F,流し,事務所等,湯沸室等,3.60 ,2.60 ,1.60 ,2.80 ,4.48 ,,,,,
5F,ＰＳ,事務所等,電気・機械室（標準）,3.60 ,2.60 ,0.60 ,2.80 ,1.68 ,,,,,
5F,トイレ(男）,事務所等,トイレ,3.60 ,2.60 ,1.25 ,2.80 ,3.50 ,,,,,
5F,トイレ(女）,事務所等,トイレ,3.60 ,2.60 ,1.65 ,2.80 ,4.62 ,,,,,
5F,事務室,事務所等,事務室,3.60 ,2.60 ,,,96.80 ,,,,,
6F,ホール,事務所等,ロビー,3.60 ,2.60 ,2.80 ,2.05 ,5.74 ,,,,,
6F,流し,事務所等,湯沸室等,3.60 ,2.60 ,1.60 ,2.80 ,4.48 ,,,,,
6F,ＰＳ,事務所等,電気・機械室（標準）,3.60 ,2.60 ,0.60 ,2.80 ,1.68 ,,,,,
6F,トイレ(男）,事務所等,トイレ,3.60 ,2.60 ,1.25 ,2.80 ,3.50 ,,,,,
6F,トイレ(女）,事務所等,トイレ,3.60 ,2.60 ,1.65 ,2.80 ,4.62 ,,,,,
6F,事務室,事務所等,事務室,3.60 ,2.60 ,,,96.80 ,,,,,
7F,ホール,事務所等,ロビー,3.60 ,2.60 ,2.80 ,2.05 ,5.74 ,,,,,
7F,流し,事務所等,湯沸室等,3.60 ,2.60 ,1.60 ,2.80 ,4.48 ,,,,,
7F,ＰＳ,事務所等,電気・機械室（標準）,3.60 ,2.60 ,0.60 ,2.80 ,1.68 ,,,,,
7F,トイレ(男）,事務所等,トイレ,3.60 ,2.60 ,1.25 ,2.80 ,3.50 ,,,,,
7F,トイレ(女）,事務所等,トイレ,3.60 ,2.60 ,1.65 ,2.80 ,4.62 ,,,,,
7F,事務室,事務所等,事務室,3.60 ,2.60 ,,,96.80 ,,,,,
8F,ホール,事務所等,ロビー,3.60 ,2.60 ,2.80 ,2.05 ,5.74 ,,,,,
8F,流し,事務所等,湯沸室等,3.60 ,2.60 ,1.60 ,2.80 ,4.48 ,,,,,
8F,ＰＳ,事務所等,電気・機械室（標準）,3.60 ,2.60 ,0.60 ,2.80 ,1.68 ,,,,,
8F,トイレ(男）,事務所等,トイレ,3.60 ,2.60 ,1.25 ,2.80 ,3.50 ,,,,,
8F,トイレ(女）,事務所等,トイレ,3.60 ,2.60 ,1.65 ,2.80 ,4.62 ,,,,,
8F,事務室,事務所等,事務室,3.60 ,2.60 ,,,96.80 ,,,,,
