様式 3. (照明)照明入力シート,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
階,室名,建物用途,室用途,天井高,室の間口,室の奥行,室面積,室指数,計画照明器具仕様,,,,制御による補正,,,,,
1F,倉庫(ﾘﾊﾋﾞﾘ室）,病院等,湯沸室等,2.70 ,3.32 ,2.20 ,7.30 ,,逆富士,*,95,1,,,,,,
1F,倉庫(階段横）,病院等,湯沸室等,2.70 ,0.00 ,0.00 ,16.00 ,0.6 ,逆富士,*,95,2,,,,,,
1F,階段,病院等,廊下（昼）,2.70 ,2.20 ,2.60 ,5.72 ,,階段通路誘導灯,*,95,1,,,,,,
1F,LPG庫,病院等,湯沸室等,3.90 ,2.33 ,2.18 ,5.06 ,,反射傘付,*,48,1,,,,,,
1F,外倉庫1,病院等,湯沸室等,3.90 ,3.90 ,2.18 ,8.48 ,,反射傘付,*,48,1,,,,,,
1F,ﾎﾞﾝﾍﾞ庫,病院等,湯沸室等,3.90 ,3.00 ,2.18 ,6.53 ,,反射傘付,*,48,1,,,,,,
1F,外倉庫2,病院等,湯沸室等,3.90 ,3.23 ,2.18 ,7.01 ,,反射傘付,*,48,1,,,,,,
2F,トイレ(男),病院等,トイレ（終日）,2.50 ,0.00 ,0.00 ,14.40 ,0.6 ,ﾀﾞｳﾝﾗｲﾄ,*,60,4,,,,,,
2F,トイレ(男),病院等,トイレ（終日）,2.50 ,0.00 ,0.00 ,14.40 ,0.6 ,流元灯(ｶﾊﾞｰ付）,*,22,1,,,,,,
2F,汚物室,病院等,トイレ（終日）,2.50 ,3.00 ,1.65 ,4.95 ,,ﾀﾞｳﾝﾗｲﾄ,*,60,2,,,,,,
2F,トイレ(女),病院等,トイレ（終日）,2.50 ,0.00 ,0.00 ,13.40 ,0.5 ,ﾀﾞｳﾝﾗｲﾄ,*,60,4,,,,,,
2F,トイレ(女),病院等,トイレ（終日）,2.50 ,0.00 ,0.00 ,13.40 ,0.5 ,流元灯(ｶﾊﾞｰ付）,*,22,1,,,,,,
2F,洗面所,病院等,トイレ（終日）,2.50 ,1.95 ,2.90 ,5.66 ,,ﾀﾞｳﾝﾗｲﾄ,*,40,2,,,,,,
2F,洗面所,病院等,トイレ（終日）,2.50 ,1.95 ,2.90 ,5.66 ,,流元灯(ｶﾊﾞｰ付）,*,22,2,,,,,,
2F,車椅子用トイレ,病院等,トイレ（終日）,2.50 ,2.50 ,2.90 ,7.25 ,,ﾀﾞｳﾝﾗｲﾄ,*,60,2,,,,,,
2F,階段,病院等,廊下（昼）,2.50 ,0.00 ,0.00 ,17.30 ,0.6 ,階段通路誘導灯,*,95,1,,,,,,
2F,階段,病院等,廊下（昼）,2.50 ,0.00 ,0.00 ,17.30 ,0.6 ,ﾀﾞｳﾝﾗｲﾄ,*,60,4,,,,,,
2F,ロビ－,病院等,廊下（終日）,2.50 ,4.73 ,3.93 ,18.55 ,,ﾀﾞｳﾝﾗｲﾄ,*,60,9,,,,,,
2F,スタフル-ム・仮眠室,病院等,スタッフステーション,2.50 ,0.00 ,0.00 ,40.80 ,1.8 ,埋込下面ｱｸﾘﾙ,*,95,6,,,タイマー,,,
2F,スタフル-ム・仮眠室,病院等,スタッフステーション,2.50 ,0.00 ,0.00 ,40.80 ,1.8 ,ﾀﾞｳﾝﾗｲﾄ,*,60,6,,,,,,
2F,洗濯室・倉庫,病院等,湯沸室等,2.50 ,3.38 ,2.85 ,9.62 ,,ﾀﾞｳﾝﾗｲﾄ,*,60,3,,,,,,
2F,浴室,病院等,湯沸室等,2.50 ,1.98 ,1.61 ,3.18 ,,ﾌﾞﾗｹｯﾄ,*,60,1,,,,,,
2F,脱衣室,病院等,湯沸室等,2.50 ,1.98 ,1.24 ,2.45 ,,ﾀﾞｳﾝﾗｲﾄ,*,40,2,,,,,,
2F,滅菌室,病院等,中央診療（手術室）,2.50 ,2.90 ,6.40 ,18.56 ,,埋込下面ｱｸﾘﾙ,*,95,6,,,タイマー,,,
2F,ｼｬﾜｰ室,病院等,湯沸室等,2.50 ,2.35 ,1.06 ,2.49 ,,ﾌﾞﾗｹｯﾄ,*,40,1,,,,,,
2F,脱衣室(ｼｬﾜｰ),病院等,湯沸室等,2.50 ,2.35 ,2.04 ,4.79 ,,ﾀﾞｳﾝﾗｲﾄ,*,40,2,,,,,,
2F,前室,病院等,廊下（昼）,2.50 ,0.00 ,0.00 ,48.30 ,2.3 ,ﾀﾞｳﾝﾗｲﾄ,*,60,8,,,,,,
2F,手術室,病院等,中央診療（手術室）,2.50 ,8.05 ,6.00 ,48.30 ,,埋込下面ｱｸﾘﾙ,*,95,10,,,タイマー,,,
2F,手術室,病院等,中央診療（手術室）,2.50 ,8.05 ,6.00 ,48.30 ,,無影灯,*,100,20,,,,,,
2F,廊下,病院等,廊下（終日）,2.50 ,0.00 ,0.00 ,118.90 ,1.0 ,ﾀﾞｳﾝﾗｲﾄ,*,60,28,,,,,,
2F,病室1（4床角）,病院等,病室,2.50 ,6.18 ,5.88 ,36.28 ,,埋込下面ｱｸﾘﾙ,*,88,4,,,タイマー,,,
2F,病室1（4床角）,病院等,病室,2.50 ,6.18 ,5.88 ,36.28 ,,読書灯,*,40,4,,,,,,
2F,病室2（4床）,病院等,病室,2.50 ,6.00 ,5.88 ,35.25 ,,埋込下面ｱｸﾘﾙ,*,88,4,,,タイマー,,,
2F,病室2（4床）,病院等,病室,2.50 ,6.00 ,5.88 ,35.25 ,,読書灯,*,60,4,,,,,,
2F,病室3（4床）,病院等,病室,2.50 ,6.00 ,5.88 ,35.25 ,,埋込下面ｱｸﾘﾙ,*,88,4,,,タイマー,,,
2F,病室3（4床）,病院等,病室,2.50 ,6.00 ,5.88 ,35.25 ,,読書灯,*,60,4,,,,,,
2F,病室4（4床）,病院等,病室,2.50 ,6.00 ,5.88 ,35.25 ,,埋込下面ｱｸﾘﾙ,*,88,4,,,タイマー,,,
2F,病室4（4床）,病院等,病室,2.50 ,6.00 ,5.88 ,35.25 ,,読書灯,*,60,4,,,,,,
2F,病室5（1床）,病院等,病室,2.50 ,0.00 ,0.00 ,14.20 ,0.8 ,埋込下面ｱｸﾘﾙ,*,88,1,,,タイマー,,,
2F,病室5（1床）,病院等,病室,2.50 ,0.00 ,0.00 ,14.20 ,0.8 ,読書灯,*,60,1,,,,,,
2F,病室5（1床）,病院等,病室,2.50 ,0.00 ,0.00 ,14.20 ,0.8 ,ﾀﾞｳﾝﾗｲﾄ,*,40,1,,,,,,
2F,ﾄｲﾚﾊﾞｽﾕﾆｯﾄ(病室5）,病院等,トイレ（終日）,2.50 ,1.50 ,2.27 ,3.41 ,,ﾌﾞﾗｹｯﾄ,*,60,1,,,,,,
2F,病室6（1床）,病院等,病室,2.50 ,0.00 ,0.00 ,14.20 ,0.8 ,埋込下面ｱｸﾘﾙ,*,88,1,,,タイマー,,,
2F,病室6（1床）,病院等,病室,2.50 ,0.00 ,0.00 ,14.20 ,0.8 ,読書灯,*,60,1,,,,,,
2F,病室6（1床）,病院等,病室,2.50 ,0.00 ,0.00 ,14.20 ,0.8 ,ﾀﾞｳﾝﾗｲﾄ,*,40,1,,,,,,
2F,ﾄｲﾚﾊﾞｽﾕﾆｯﾄ(病室6）,病院等,トイレ（終日）,2.50 ,1.50 ,2.27 ,3.41 ,,ﾌﾞﾗｹｯﾄ,*,60,1,,,,,,
2F,病室7（1床）,病院等,病室,2.50 ,0.00 ,0.00 ,14.20 ,0.8 ,埋込下面ｱｸﾘﾙ,*,88,1,,,タイマー,,,
2F,病室7（1床）,病院等,病室,2.50 ,0.00 ,0.00 ,14.20 ,0.8 ,読書灯,*,60,1,,,,,,
2F,病室7（1床）,病院等,病室,2.50 ,0.00 ,0.00 ,14.20 ,0.8 ,ﾀﾞｳﾝﾗｲﾄ,*,40,1,,,,,,
2F,ﾄｲﾚﾊﾞｽﾕﾆｯﾄ(病室7）,病院等,トイレ（終日）,2.50 ,1.50 ,2.27 ,3.41 ,,ﾌﾞﾗｹｯﾄ,*,60,1,,,,,,
2F,宿直室,病院等,病室,2.50 ,0.00 ,0.00 ,14.20 ,0.6 ,埋込下面ｱｸﾘﾙ,*,88,2,,,タイマー,,,
2F,宿直室,病院等,病室,2.50 ,0.00 ,0.00 ,14.20 ,0.6 ,ﾀﾞｳﾝﾗｲﾄ,*,40,1,,,,,,
2F,ﾄｲﾚﾊﾞｽﾕﾆｯﾄ(宿直室）,病院等,トイレ（終日）,2.50 ,1.50 ,2.27 ,3.41 ,,ﾌﾞﾗｹｯﾄ,*,60,1,,,,,,
2F,倉庫,病院等,湯沸室等,2.50 ,2.53 ,5.88 ,14.83 ,,埋込下面開放,*,95,2,,,,,,
2F,階段室,病院等,廊下（昼）,2.50 ,3.70 ,5.88 ,21.74 ,,階段通路誘導灯,*,95,2,,,,,,
