條幃 2-2. (嬻挷) 奜旂巇條擖椡僔乕僩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奒,嬻挷僝乕儞柤,奜旂1,,,,,,,,奜旂2,,,,,,,,奜旂3,,,,,,,,奜旂4,,,,,,,,奜旂5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,奜暻1,,,憢1,,,,,奜暻2,,,憢2,,,,,奜暻3,,,憢3,,,,,奜暻4,,,憢4,,,,,奜暻5,,,憢5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1F,媥宔幒,惣,,OW5S,4.4 ,17.2 ,WNDW1,2.6 ,柧怓,,,,,,,,,,,,,,,,,,,,,,,,,抧拞,,S俬俥1,-,16.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1F,懸崌幒,搶,,OW5S,8.9 ,34.7 ,WNDW1,7.8 ,柧怓,撿,,OW5S,4.4 ,17.2 ,WNDW1,6.3 ,柧怓,,,,,,,,,,,,,,,,,抧拞,,S俬俥1,-,62.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1F,庴晅丒帠柋幒,撿,,OW5S,3.0 ,11.6 ,WNDW1,2.6 ,柧怓,,,,,,,,,,,,,,,,,,,,,,,,,抧拞,,S俬俥1,-,20.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1F,栻嬊,撿,,OW5S,2.2 ,8.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,抧拞,,S俬俥1,-,4.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1F,拞懸崌幒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,抧拞,,S俬俥1,-,58.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1F,恌嶡幒,撿,,OW5S,8.3 ,32.5 ,WNDW1,7.7 ,拞娫怓,,,,,,,,,,,,,,,,,,,,,,,,,抧拞,,S俬俥1,-,42.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1F,専嵏喊虐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,抧拞,,S俬俥1,-,3.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1F,媬媫張抲幒,撿,,OW5S,3.7 ,14.3 ,WNDW1,4.9 ,拞娫怓,,,,,,,,,,,,,,,,,,,,,,,,,抧拞,,S俬俥1,-,21.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1F,僊僽僗幒,撿,,OW5S,2.7 ,10.3 ,WNDW1,2.6 ,拞娫怓,,,,,,,,,,,,,,,,,,,,,,,,,抧拞,,S俬俥1,-,15.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1F,儕僴價儕幒,撿,,OW5S,12.0 ,46.8 ,WNDW1,10.2 ,柧怓,,,,,,,,,,,,,,,,,,,,,,,,,抧拞,,S俬俥1,-,70.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2F,儘價亅,杒,,OW5S,4.7 ,18.4 ,WNDW1,11.4 ,柧怓,,,,,,,,,,,,,,,,,壆崻,,RF4S,-,18.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2F,僗僞僼儖-儉丒壖柊幒,杒,,OW5S,6.1 ,23.6 ,WNDW1,11.3 ,柧怓,杒,,OW5S,1.8 ,6.9 ,WNDW1,3.7 ,柧怓,搶,,OW5S,1.7 ,6.5 ,,,,壆崻,,RF4S,-,40.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2F,柵嬠幒,杒,,OW5S,6.4 ,25.0 ,WNDW1,4.5 ,柧怓,搶,,OW5S,2.9 ,11.3 ,,,,,,,,,,,,壆崻,,RF4S,-,18.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2F,庤弍幒,惣,,OW5S,8.1 ,31.4 ,WNDW1,4.5 ,埫怓,杒,,OW5S,6.0 ,23.4 ,,,,,,,,,,,,壆崻,,RF4S,-,48.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2F,昦幒1乮4彴妏乯,撿,,OW5S,6.2 ,24.2 ,WNDW1,6.8 ,柧怓,搶,,OW5S,5.9 ,22.9 ,,,,,,,,,,,,壆崻,,RF4S,-,36.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2F,昦幒2񑧈乮4彴乯,撿,,OW5S,18.0 ,70.2 ,WNDW1,20.3 ,柧怓,,,,,,,,,,,,,,,,,壆崻,,RF4S,-,105.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2F,昦幒5񒢏乮1彴乯,撿,,OW5S,9.0 ,35.1 ,WNDW1,6.8 ,柧怓,,,,,,,,,,,,,,,,,壆崻,,RF4S,-,42.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2F,廻捈幒,撿,,OW5S,3.0 ,11.7 ,WNDW1,2.3 ,柧怓,,,,,,,,,,,,,,,,,壆崻,,RF4S,-,14.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
