様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
階,室名,建物用途,室用途,階高,天井高,照明計算用室の間口,照明計算用室の奥行,室面積,空調計算対象室,換気計算対象室,照明計算対象室,給湯計算対象室,備考欄
1F,薬局,病院等,事務室,3.90 ,2.70 ,2.15 ,2.18 ,4.68 ,,,,,
1F,PS(薬局横),病院等,電気・機械室（標準）,3.90 ,2.70 ,0.38 ,0.83 ,0.31 ,,,,,
1F,中待合室,病院等,外来診療（待合室）,3.90 ,2.70 ,,,58.10 ,,,,,
1F,診察室,病院等,外来診療（診察室）,3.90 ,2.70 ,,,42.40 ,,,,,
1F,検査ｺｰﾅｰ,病院等,中央診療（検査室）,3.90 ,2.70 ,1.65 ,2.30 ,3.80 ,,,,,
1F,検査用ﾄｲﾚ,病院等,トイレ（昼）,3.90 ,2.70 ,1.65 ,1.65 ,2.72 ,,,,,
1F,救急処置室,病院等,中央診療（手術室）,3.90 ,2.70 ,3.68 ,5.88 ,21.59 ,,,,,
1F,ギブス室,病院等,外来診療（診察室）,3.90 ,2.70 ,2.65 ,5.88 ,15.57 ,,,,,
1F,リハビリ室,病院等,中央診療（検査室）,3.90 ,2.70 ,,,70.20 ,,,,,
1F,PS(リハビリ室),病院等,電気・機械室（標準）,3.90 ,2.70 ,0.43 ,0.73 ,0.31 ,,,,,
1F,脱衣室,病院等,湯沸室等,3.90 ,2.70 ,2.20 ,1.50 ,3.30 ,,,,,
1F,ｼｬﾜｰ室,病院等,湯沸室等,3.90 ,2.70 ,2.20 ,1.06 ,2.33 ,,,,,
1F,倉庫(ﾘﾊﾋﾞﾘ室）,病院等,湯沸室等,3.90 ,2.70 ,3.32 ,2.20 ,7.30 ,,,,,
1F,倉庫(階段横）,病院等,湯沸室等,3.90 ,2.70 ,,,16.00 ,,,,,
1F,階段,病院等,廊下（昼）,3.90 ,2.70 ,2.20 ,2.60 ,5.72 ,,,,,
1F,LPG庫,病院等,湯沸室等,3.90 ,3.90 ,2.33 ,2.18 ,5.06 ,,,,,
1F,外倉庫1,病院等,湯沸室等,3.90 ,3.90 ,3.90 ,2.18 ,8.48 ,,,,,
1F,ﾎﾞﾝﾍﾞ庫,病院等,湯沸室等,3.90 ,3.90 ,3.00 ,2.18 ,6.53 ,,,,,
1F,外倉庫2,病院等,湯沸室等,3.90 ,3.90 ,3.23 ,2.18 ,7.01 ,,,,,
2F,トイレ(男),病院等,トイレ（終日）,3.90 ,2.50 ,,,14.40 ,,,,,
2F,汚物室,病院等,トイレ（終日）,3.90 ,2.50 ,3.00 ,1.65 ,4.95 ,,,,,
2F,トイレ(女),病院等,トイレ（終日）,3.90 ,2.50 ,,,13.40 ,,,,,
2F,洗面所,病院等,トイレ（終日）,3.90 ,2.50 ,1.95 ,2.90 ,5.66 ,,,,,
2F,車椅子用トイレ,病院等,トイレ（終日）,3.90 ,2.50 ,2.50 ,2.90 ,7.25 ,,,,,
2F,階段,病院等,廊下（昼）,3.90 ,2.50 ,,,17.30 ,,,,,
2F,ロビ－,病院等,廊下（終日）,3.90 ,2.50 ,4.73 ,3.93 ,18.55 ,,,,,
2F,スタフル-ム・仮眠室,病院等,スタッフステーション,3.90 ,2.50 ,,,40.80 ,,,,,
2F,洗濯室・倉庫,病院等,湯沸室等,3.90 ,2.50 ,3.38 ,2.85 ,9.62 ,,,,,
2F,浴室,病院等,湯沸室等,3.90 ,2.50 ,1.98 ,1.61 ,3.18 ,,,,,
2F,脱衣室,病院等,湯沸室等,3.90 ,2.50 ,1.98 ,1.24 ,2.45 ,,,,,
2F,滅菌室,病院等,中央診療（手術室）,3.90 ,2.50 ,2.90 ,6.40 ,18.56 ,,,,,
2F,ｼｬﾜｰ室,病院等,湯沸室等,3.90 ,2.50 ,2.35 ,1.06 ,2.49 ,,,,,
2F,脱衣室(ｼｬﾜｰ),病院等,湯沸室等,3.90 ,2.50 ,2.35 ,2.04 ,4.79 ,,,,,
2F,前室,病院等,廊下（昼）,3.90 ,2.50 ,,,48.30 ,,,,,
2F,手術室,病院等,中央診療（手術室）,3.90 ,2.50 ,8.05 ,6.00 ,48.30 ,,,,,
2F,廊下,病院等,廊下（終日）,3.90 ,2.50 ,,,118.90 ,,,,,
2F,病室1（4床角）,病院等,病室,3.90 ,2.50 ,6.18 ,5.88 ,36.28 ,,,,,
2F,病室2（4床）,病院等,病室,3.90 ,2.50 ,6.00 ,5.88 ,35.25 ,,,,,
2F,病室3（4床）,病院等,病室,3.90 ,2.50 ,6.00 ,5.88 ,35.25 ,,,,,
2F,病室4（4床）,病院等,病室,3.90 ,2.50 ,6.00 ,5.88 ,35.25 ,,,,,
2F,病室5（1床）,病院等,病室,3.90 ,2.50 ,,,14.20 ,,,,,
2F,ﾄｲﾚﾊﾞｽﾕﾆｯﾄ(病室5）,病院等,トイレ（終日）,3.90 ,2.50 ,1.50 ,2.27 ,3.41 ,,,,,
2F,病室6（1床）,病院等,病室,3.90 ,2.50 ,,,14.20 ,,,,,
2F,ﾄｲﾚﾊﾞｽﾕﾆｯﾄ(病室6）,病院等,トイレ（終日）,3.90 ,2.50 ,1.50 ,2.27 ,3.41 ,,,,,
2F,病室7（1床）,病院等,病室,3.90 ,2.50 ,,,14.20 ,,,,,
2F,ﾄｲﾚﾊﾞｽﾕﾆｯﾄ(病室7）,病院等,トイレ（終日）,3.90 ,2.50 ,1.50 ,2.27 ,3.41 ,,,,,
2F,宿直室,病院等,病室,3.90 ,2.50 ,,,14.20 ,,,,,
2F,ﾄｲﾚﾊﾞｽﾕﾆｯﾄ(宿直室）,病院等,トイレ（終日）,3.90 ,2.50 ,1.50 ,2.27 ,3.41 ,,,,,
2F,倉庫,病院等,湯沸室等,3.90 ,2.50 ,2.53 ,5.88 ,14.83 ,,,,,
2F,階段室,病院等,廊下（昼）,3.90 ,2.50 ,3.70 ,5.88 ,21.74 ,,,,,
